PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,39.58,64.3852,15.0,19.4712,1.5656,1.5,55.7984,56.0,71.78
20160101001500,39.58,64.3852,15.0,19.4422,1.5697,1.5,55.7984,56.0,71.78
20160101003000,35.885,64.3852,15.0,19.4422,1.5656,1.5,55.7984,56.0,71.78
20160101004500,29.625,64.3852,15.0,19.7482,1.5616,1.5,55.7984,56.0,71.78
20160101010000,26.455,62.7471,15.0,18.9704,1.5737,1.5,55.7984,56.0,71.78
20160101011500,43.335,62.7471,15.0,18.2999,1.5576,1.5,56.4464,56.0,71.78
20160101013000,43.335,62.7471,15.0,17.8115,1.5656,1.5,57.0225,56.0,71.78
20160101014500,37.37,62.7471,15.0,17.9294,1.5656,1.5,55.2763,56.0,71.78
20160101020000,25.88,62.7471,15.0,17.709,1.5777,1.5,56.5005,56.0,71.78
20160101021500,37.635,62.7471,15.0,17.4152,1.5576,1.5,54.9523,56.0,71.78
20160101023000,30.12,62.7471,15.0,19.9924,1.5777,1.5,57.1125,56.0,71.78
20160101024500,44.885,61.559,15.0,19.5345,1.5576,1.5,55.4743,56.0,71.78
20160101030000,23.14,61.559,15.0,19.2808,1.5697,1.5,56.3384,56.0,71.78
20160101031500,41.02,61.559,15.0,19.0929,1.5897,1.5,55.5104,56.0,71.78
20160101033000,41.02,61.559,15.0,19.0541,1.5536,1.5,55.5104,56.0,71.78
20160101034500,22.455,61.559,15.0,18.9279,1.5576,1.5,55.5104,56.0,71.78
20160101040000,34.775,61.559,15.0,18.4409,1.5536,1.5,57.0225,56.0,71.78
20160101041500,29.53,61.559,15.0,18.5218,1.5616,1.5,54.9523,56.0,71.78
20160101043000,28.165,61.559,15.0,18.5218,1.5616,1.5,54.9523,56.0,71.78
20160101044500,43.695,61.559,15.0,18.5218,1.5536,1.5,57.1125,56.0,71.78
20160101050000,19.995,61.559,15.0,18.5218,1.5536,1.5,54.8623,56.0,71.78
20160101051500,44.57,61.559,15.0,18.3137,1.5415,1.5,56.8605,56.0,71.78
20160101053000,21.915,61.559,15.0,18.3137,1.5536,1.5,55.0243,56.0,71.78
20160101054500,23.605,61.559,15.0,18.1229,1.5496,1.5,56.2844,56.0,71.78
20160101060000,34.285,61.559,15.0,18.2014,1.5496,1.5,56.2844,56.0,71.78
