PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,0.0,66.9415,15.0,15.0,19.4712,32.4339,1.5777,55.0243,56.0,61.68
20160101001500,0.0,66.9415,15.0,15.0,19.4422,32.4339,1.5656,54.2862,56.0,61.68
20160101003000,25.435,66.9415,15.0,15.0,19.4422,32.4339,1.5054,54.2862,56.0,61.68
20160101004500,36.45,66.2034,15.0,15.0,19.7482,32.0982,1.5255,54.2862,56.0,64.155
20160101010000,34.755,64.5653,15.0,15.0,18.9704,32.0982,1.5576,54.8623,56.0,62.91
20160101011500,16.015,64.5653,15.0,15.0,18.2999,32.0982,1.5737,56.4464,56.0,62.91
20160101013000,36.38,64.5653,15.0,15.0,17.8115,32.0982,1.5656,56.4464,56.0,62.91
20160101014500,13.215,64.5653,15.0,15.0,17.9294,32.0982,1.5777,54.5023,56.0,62.91
20160101020000,1.215,64.5653,15.0,15.0,17.709,32.0982,1.5656,56.4464,56.0,62.91
20160101021500,8.82,64.5653,15.0,15.0,17.4152,32.4645,1.5857,56.4464,56.0,62.91
20160101023000,30.745,64.5653,15.0,15.0,19.9924,32.4645,1.4934,56.4464,56.0,64.15
20160101024500,35.61,64.5653,15.0,15.0,19.5345,32.4645,1.5697,56.4464,56.0,63.035
20160101030000,39.045,63.9172,15.0,15.0,19.2808,32.4645,1.5817,56.4464,56.0,63.035
20160101031500,40.48,63.9172,15.0,15.0,19.0929,32.4645,1.5897,56.4464,56.0,61.95
20160101033000,34.45,64.5653,15.0,15.0,19.0541,32.4645,1.5937,56.4464,56.0,61.95
20160101034500,33.78,64.5653,15.0,15.0,18.9279,32.4645,1.5656,55.5644,56.0,61.95
20160101040000,27.875,64.5653,15.0,15.0,18.4409,32.4645,1.5576,56.1764,56.0,61.95
20160101041500,19.38,64.5653,15.0,15.0,18.5218,32.4645,1.5496,56.1764,56.0,61.95
20160101043000,15.44,64.5653,15.0,15.0,18.5218,32.4645,1.5576,55.4023,56.0,61.95
20160101044500,10.6,64.5653,15.0,15.0,18.5218,32.4645,1.5496,56.2844,56.0,61.95
20160101050000,11.96,64.5653,15.0,15.0,18.5218,32.4645,1.5536,56.2844,56.0,61.95
20160101051500,11.96,64.5653,15.0,15.0,18.3137,32.4645,1.5496,56.2844,56.0,61.95
20160101053000,11.96,64.5653,15.0,15.0,18.3137,32.4645,1.5576,56.2844,56.0,61.95
20160101054500,18.115,64.5653,15.0,15.0,18.1229,32.4645,1.5415,56.2844,56.0,61.95
20160101060000,0.0,64.5653,15.0,15.0,18.2014,32.0982,1.5496,55.6364,56.0,61.95
20160101061500,0.0,64.5653,15.0,15.0,18.0732,32.0982,1.5456,56.2484,56.0,61.95
20160101063000,0.0,64.5653,15.0,15.0,18.1229,32.0982,1.5536,56.2484,56.0,61.95
20160101064500,0.0,64.5653,15.0,15.0,18.1229,32.0982,1.5536,56.2484,56.0,61.95
20160101070000,12.33,64.5653,15.0,15.0,18.1075,32.0982,1.4211,56.2484,56.0,63.49
20160101071500,23.24,64.5653,15.0,15.0,18.1075,32.0982,1.4372,56.2484,56.0,63.49
20160101073000,39.92,64.5653,15.0,15.0,18.1538,32.0982,1.5175,56.2484,56.0,63.49
20160101074500,0.0,63.9172,15.0,15.0,17.9659,32.0982,1.5817,55.0603,56.0,61.73
20160101080000,0.0,63.9172,15.0,15.0,18.0444,31.671,1.5496,55.6904,56.0,61.73
20160101081500,0.0,63.9172,15.0,15.0,17.8875,31.671,1.5536,55.6904,56.0,61.73
20160101083000,0.0,63.9172,15.0,15.0,17.8407,31.671,1.5456,55.6904,56.0,61.73
20160101084500,0.0,63.9172,15.0,15.0,17.8875,31.1217,1.5415,55.6904,56.0,61.73
20160101090000,0.0,63.9172,15.0,15.0,17.4393,31.1217,1.5456,55.6904,56.0,61.73
20160101091500,0.0,64.8353,15.0,15.0,17.3905,31.1217,1.5415,55.6904,56.0,61.73
20160101093000,9.355,64.8353,15.0,15.0,17.3905,30.6334,1.5496,56.6625,56.0,61.73
20160101094500,22.33,64.8353,15.0,15.0,17.4393,30.6334,1.5536,55.6904,56.0,61.73
20160101100000,30.49,64.8353,15.0,15.0,17.1803,30.1146,1.5576,56.4464,56.0,61.73
20160101101500,30.49,64.8353,15.0,15.0,17.316,30.1146,1.5536,55.7264,56.0,61.73
20160101103000,40.28,64.8353,15.0,15.0,17.2415,29.7179,1.5456,56.4464,56.0,61.73
20160101104500,0.0,64.8353,15.0,15.0,17.2544,29.7179,1.5576,56.4464,56.0,61.73
20160101110000,1.715,64.8353,15.0,15.0,17.316,29.7179,1.5536,56.4464,56.0,61.73
20160101111500,44.08,64.8353,15.0,15.0,17.5625,29.7179,1.5496,56.4464,56.0,61.73
20160101113000,12.085,64.8353,15.0,15.0,17.4533,29.4127,1.5456,56.4464,56.0,61.73
20160101114500,21.115,64.8353,15.0,15.0,17.333,29.4127,1.5576,55.1503,56.0,61.73
20160101120000,14.915,64.8353,15.0,15.0,17.4095,29.4127,1.5536,55.8524,56.0,61.73
20160101121500,12.395,64.8353,15.0,15.0,17.4095,29.4127,1.4372,53.5122,56.0,59.29
20160101123000,0.0,64.8353,15.0,15.0,17.4533,29.016,1.4412,55.8524,56.0,59.29
20160101124500,0.0,64.8353,15.0,15.0,17.2983,29.016,1.4332,55.8524,56.0,59.29
20160101130000,12.815,64.8353,15.0,15.0,17.5548,29.016,1.4332,55.8524,56.0,59.29
20160101131500,12.815,64.8353,15.0,15.0,17.5941,29.016,1.4291,56.4464,56.0,59.29
20160101133000,12.815,64.8353,15.0,15.0,17.8662,29.016,1.4291,56.4464,56.0,59.29
