PropertyTimestampInNumber,CoolOutputPercent,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,0.0,15.0,15.0,19.4712,43.8475,68.1656,1.7784,1.7,52.9001,56.0,81.79
20160101001500,0.0,15.0,15.0,19.4422,43.8475,68.1656,1.7864,1.7,52.9001,56.0,81.79
20160101003000,0.0,15.0,15.0,19.4422,43.8475,68.1656,1.7784,1.7,53.5482,56.0,81.79
20160101004500,0.0,15.0,15.0,19.7482,43.8475,68.1656,1.7904,1.7,52.5581,56.0,81.79
20160101010000,0.0,15.0,15.0,18.9704,43.8475,68.1656,1.7904,1.7,52.5581,56.0,81.79
20160101011500,0.0,15.0,15.0,18.2999,43.8475,68.1656,1.7824,1.7,52.5581,56.0,81.79
20160101013000,0.0,15.0,15.0,17.8115,43.8475,68.1656,1.7704,1.7,51.478,56.0,80.795
20160101014500,0.0,15.0,15.0,17.9294,43.8475,68.1656,1.7664,1.7,52.396,56.0,80.795
20160101020000,0.0,15.0,15.0,17.709,43.8475,68.1656,1.7704,1.7,52.396,56.0,80.795
20160101021500,0.0,15.0,15.0,17.4152,43.8475,68.1656,1.7704,1.7,52.396,56.0,80.795
20160101023000,0.0,15.0,15.0,19.9924,43.8475,68.1656,1.7744,1.7,51.694,56.0,80.795
20160101024500,0.0,15.0,15.0,19.5345,43.8475,68.1656,1.7543,1.7,52.5221,56.0,80.795
20160101030000,0.0,15.0,15.0,19.2808,43.8475,68.1656,1.7744,1.7,51.892,56.0,80.795
20160101031500,0.0,15.0,15.0,19.0929,43.8475,68.1656,1.7704,1.7,51.892,56.0,80.795
20160101033000,0.0,15.0,15.0,19.0541,43.8475,68.1656,1.7744,1.7,51.892,56.0,80.795
20160101034500,0.0,15.0,15.0,18.9279,43.8475,68.1656,1.7664,1.7,51.892,56.0,80.795
20160101040000,0.0,15.0,15.0,18.4409,43.8475,68.1656,1.7744,1.7,51.892,56.0,80.795
20160101041500,0.0,15.0,15.0,18.5218,43.8475,68.1656,1.7704,1.7,52.5221,56.0,80.795
20160101043000,0.0,15.0,15.0,18.5218,43.3897,68.1656,1.7744,1.7,51.532,56.0,80.795
20160101044500,0.0,15.0,15.0,18.5218,43.3897,68.1656,1.7664,1.7,52.234,56.0,80.795
20160101050000,0.0,15.0,15.0,18.5218,43.3897,68.1656,1.7704,1.7,52.234,56.0,80.795
20160101051500,0.0,15.0,15.0,18.3137,43.3897,68.1656,1.7704,1.7,52.234,56.0,80.795
20160101053000,0.0,15.0,15.0,18.3137,43.3897,68.1656,1.7784,1.7,52.234,56.0,80.795
20160101054500,0.0,15.0,15.0,18.1229,43.3897,68.1656,1.7664,1.7,52.234,56.0,80.795
20160101060000,0.0,15.0,15.0,18.2014,43.3897,68.1656,1.7744,1.7,51.4059,56.0,80.795
20160101061500,0.0,15.0,15.0,18.0732,43.3897,68.1656,1.7744,1.7,52.396,56.0,80.795
20160101063000,0.0,15.0,15.0,18.1229,43.3897,68.1656,1.7704,1.7,52.396,56.0,80.795
20160101064500,0.0,15.0,15.0,18.1229,43.3897,68.1656,1.7744,1.7,51.3519,56.0,80.795
