PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,0.0,59.6508,15.0,15.0,19.4712,1.4572,1.5,56.1224,56.0,78.0
20160101001500,19.59,57.9226,15.0,15.0,19.4422,1.4813,1.5,55.3483,56.0,78.0
20160101003000,0.0,60.1008,15.0,15.0,19.4422,1.4853,1.5,56.3384,56.0,78.0
20160101004500,0.0,58.8227,15.0,15.0,19.7482,1.4853,1.5,55.3483,56.0,78.0
20160101010000,3.06,59.8308,15.0,15.0,18.9704,1.4894,1.5,56.3384,56.0,78.0
20160101011500,3.06,59.8308,15.0,15.0,18.2999,1.4853,1.5,56.3384,56.0,78.0
20160101013000,8.48,58.8227,15.0,15.0,17.8115,1.4853,1.5,55.4383,56.0,78.0
20160101014500,1.955,59.9208,15.0,15.0,17.9294,1.4853,1.5,56.3384,56.0,78.0
20160101020000,0.0,59.9208,15.0,15.0,17.709,1.4773,1.5,56.3384,56.0,78.0
20160101021500,0.0,59.9208,15.0,15.0,17.4152,1.4813,1.5,55.7624,56.0,78.0
20160101023000,1.615,59.2727,15.0,15.0,19.9924,1.4853,1.5,55.7624,56.0,78.0
20160101024500,0.0,60.0108,15.0,15.0,19.5345,1.4894,1.5,55.7624,56.0,78.0
20160101030000,0.0,59.3627,15.0,15.0,19.2808,1.4894,1.5,55.7624,56.0,78.0
20160101031500,0.0,59.3627,15.0,15.0,19.0929,1.4813,1.5,55.7624,56.0,78.0
20160101033000,0.0,59.3627,15.0,15.0,19.0541,1.4894,1.5,55.7624,56.0,78.0
20160101034500,0.0,59.3627,15.0,15.0,18.9279,1.4894,1.5,55.7624,56.0,78.0
20160101040000,0.0,59.3627,15.0,15.0,18.4409,1.4853,1.5,55.7624,56.0,78.0
20160101041500,0.0,60.0108,15.0,15.0,18.5218,1.4853,1.5,55.7624,56.0,78.0
20160101043000,0.0,59.0927,15.0,15.0,18.5218,1.4934,1.5,55.7624,56.0,78.0
20160101044500,0.0,59.7408,15.0,15.0,18.5218,1.4894,1.5,55.7624,56.0,78.0
20160101050000,0.0,59.7408,15.0,15.0,18.5218,1.4813,1.5,55.7624,56.0,78.0
20160101051500,0.0,58.9127,15.0,15.0,18.3137,1.4813,1.5,55.7624,56.0,78.0
20160101053000,0.0,58.9127,15.0,15.0,18.3137,1.4894,1.5,55.7624,56.0,78.0
20160101054500,0.0,59.7408,15.0,15.0,18.1229,1.4894,1.5,55.7624,56.0,78.0
20160101060000,0.0,58.9127,15.0,15.0,18.2014,1.4934,1.5,55.1503,56.0,78.0
20160101061500,0.0,59.8308,15.0,15.0,18.0732,1.4894,1.5,55.9604,56.0,78.0
20160101063000,0.0,59.8308,15.0,15.0,18.1229,1.4773,1.5,55.9604,56.0,78.0
20160101064500,0.0,58.8227,15.0,15.0,18.1229,1.4934,1.5,55.1143,56.0,78.0
20160101070000,0.0,59.6508,15.0,15.0,18.1075,1.4894,1.5,56.0144,56.0,78.0
20160101071500,0.0,59.6508,15.0,15.0,18.1075,1.4894,1.5,56.0144,56.0,78.0
20160101073000,0.0,59.6508,15.0,15.0,18.1538,1.4813,1.5,55.3123,56.0,78.0
20160101074500,0.0,59.6508,15.0,15.0,17.9659,1.4853,1.5,55.9604,56.0,78.0
20160101080000,0.0,59.0027,15.0,15.0,18.0444,1.4934,1.5,55.9604,56.0,78.0
20160101081500,0.12,59.8308,15.0,15.0,17.8875,1.4934,1.5,55.9604,56.0,78.0
20160101083000,0.0,58.9127,15.0,15.0,17.8407,1.4894,1.5,55.9604,56.0,78.0
20160101084500,0.0,58.9127,15.0,15.0,17.8875,1.4894,1.5,55.9604,56.0,78.0
20160101090000,0.0,59.6508,15.0,15.0,17.4393,1.5054,1.5,55.9604,56.0,78.0
20160101091500,0.0,58.8227,15.0,15.0,17.3905,1.4974,1.5,55.9604,56.0,78.0
20160101093000,1.755,59.8308,15.0,15.0,17.3905,1.5054,1.5,55.9604,56.0,78.0
20160101094500,0.0,58.2826,15.0,15.0,17.4393,1.5134,1.5,54.7903,56.0,78.0
20160101100000,0.0,59.6508,15.0,15.0,17.1803,1.5094,1.5,55.8884,56.0,78.0
20160101101500,0.0,58.7327,15.0,15.0,17.316,1.5054,1.5,55.0243,56.0,78.0
20160101103000,0.0,59.7408,15.0,15.0,17.2415,1.5014,1.5,55.8884,56.0,78.0
20160101104500,0.0,59.7408,15.0,15.0,17.2544,1.5014,1.5,55.8884,56.0,78.0
20160101110000,0.0,58.9127,15.0,15.0,17.316,1.5054,1.5,55.8884,56.0,78.0
20160101111500,0.0,59.7408,15.0,15.0,17.5625,1.5014,1.5,55.8884,56.0,78.0
20160101113000,0.0,59.7408,15.0,15.0,17.4533,1.5054,1.5,55.8884,56.0,78.0
20160101114500,0.0,58.3726,15.0,15.0,17.333,1.5737,1.5,55.0243,56.0,78.0
20160101120000,0.0,59.5608,15.0,15.0,17.4095,1.5616,1.5,56.0144,56.0,78.0
20160101121500,0.0,57.9226,15.0,15.0,17.4095,1.5375,1.5,54.4122,56.0,76.505
20160101123000,0.0,58.9127,15.0,15.0,17.4533,1.5335,1.5,55.6004,56.0,76.505
20160101124500,0.0,58.9127,15.0,15.0,17.2983,1.5375,1.5,55.6004,56.0,76.505
20160101130000,0.0,58.9127,15.0,15.0,17.5548,1.5375,1.5,55.6004,56.0,76.505
20160101131500,0.0,59.6508,15.0,15.0,17.5941,1.5496,1.5,55.6004,56.0,76.505
20160101133000,0.0,59.6508,15.0,15.0,17.8662,1.5576,1.5,55.6004,56.0,76.505
20160101134500,0.0,58.5527,15.0,15.0,17.9248,1.5496,1.5,55.6004,56.0,76.505
20160101140000,0.0,59.5608,15.0,15.0,17.9491,1.5496,1.5,55.6004,56.0,76.505
20160101141500,0.0,58.7327,15.0,15.0,17.9127,1.5496,1.5,55.6004,56.0,76.505
20160101143000,0.0,58.7327,15.0,15.0,17.9491,1.5496,1.5,55.6004,56.0,76.505
20160101144500,0.0,59.6508,15.0,15.0,18.0916,1.5496,1.5,55.6004,56.0,76.505
20160101150000,0.0,59.6508,15.0,15.0,18.0916,1.5536,1.5,55.6004,56.0,76.505
20160101151500,0.0,58.6427,15.0,15.0,18.0916,1.5496,1.5,55.6004,56.0,76.505
20160101153000,0.0,59.3627,15.0,15.0,17.9491,1.5415,1.5,55.6004,56.0,76.505
20160101154500,0.0,59.3627,15.0,15.0,18.0082,1.5456,1.5,55.6004,56.0,76.505
20160101160000,0.0,58.7327,15.0,15.0,17.9248,1.5415,1.5,54.9883,56.0,76.505
20160101161500,0.0,58.7327,15.0,15.0,18.0082,1.5375,1.5,54.9883,56.0,76.505
20160101163000,0.0,58.7327,15.0,15.0,18.1149,1.5576,1.5,54.9883,56.0,76.505
20160101164500,0.0,58.7327,15.0,15.0,17.9127,1.5456,1.5,54.9883,56.0,76.505
