PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,6.03,61.919,15.0,15.0,19.4712,32.5255,72.9361,1.2766,1.2,56.1224,57.0,68.42
20160101001500,9.245,61.919,15.0,15.0,19.4422,32.8612,72.9361,1.2846,1.2,54.5743,57.0,68.42
20160101003000,29.04,61.919,15.0,15.0,19.4422,34.7533,73.6922,1.2846,1.2,56.8965,57.0,67.29
20160101004500,21.24,61.919,15.0,15.0,19.7482,37.6524,73.6922,1.2766,1.2,58.9667,57.0,67.29
20160101010000,5.325,61.1989,15.0,15.0,18.9704,38.4459,73.6922,1.2806,1.2,55.3123,57.0,67.29
20160101011500,17.1,61.1989,15.0,15.0,18.2999,34.265,74.8443,1.2886,1.2,55.3123,57.0,67.29
20160101013000,30.69,61.1989,15.0,15.0,17.8115,37.8355,74.8443,1.2726,1.2,59.7228,57.0,67.29
20160101014500,1.74,60.3708,15.0,15.0,17.9294,31.7626,74.8443,1.2846,1.2,56.9505,57.0,67.29
20160101020000,8.81,60.3708,15.0,15.0,17.709,34.7838,73.3321,1.2927,1.2,55.0243,57.0,67.29
20160101021500,32.315,60.3708,15.0,15.0,17.4152,36.1266,73.3321,1.2726,1.2,59.5608,57.0,67.29
20160101023000,1.545,60.3708,15.0,15.0,19.9924,38.568,73.3321,1.2806,1.2,56.9505,57.0,67.29
20160101024500,11.4,60.3708,15.0,15.0,19.5345,33.9903,74.1242,1.2846,1.2,54.9523,57.0,67.29
20160101030000,26.585,60.3708,15.0,15.0,19.2808,39.6666,74.1242,1.2766,1.2,59.5608,57.0,67.29
20160101031500,4.065,60.3708,15.0,15.0,19.0929,40.4295,74.1242,1.2806,1.2,56.3744,57.0,67.29
20160101033000,11.915,60.3708,15.0,15.0,19.0541,38.9647,75.1683,1.2726,1.2,54.7363,57.0,67.29
20160101034500,30.57,60.3708,15.0,15.0,18.9279,37.0726,75.1683,1.2766,1.2,59.5248,57.0,67.29
20160101040000,3.765,60.3708,15.0,15.0,18.4409,35.2721,75.1683,1.2886,1.2,56.4104,57.0,67.29
20160101041500,9.25,60.3708,15.0,15.0,18.5218,36.2486,73.6922,1.2806,1.2,55.0243,57.0,67.29
20160101043000,30.34,60.3708,15.0,15.0,18.5218,38.7816,73.6922,1.2766,1.2,59.5608,57.0,67.29
20160101044500,4.29,60.3708,15.0,15.0,18.5218,38.7816,73.6922,1.2927,1.2,56.6625,57.0,67.29
20160101050000,28.01,60.3708,15.0,15.0,18.5218,34.1124,73.6922,1.2766,1.2,58.2286,57.0,67.29
20160101051500,12.49,60.3708,15.0,15.0,18.3137,34.1124,74.5203,1.2766,1.2,58.2286,57.0,67.29
20160101053000,1.49,60.3708,15.0,15.0,18.3137,38.4764,74.5203,1.2846,1.2,55.6904,57.0,67.29
20160101054500,23.455,59.7408,15.0,15.0,18.1229,37.3167,74.5203,1.2726,1.2,56.6625,57.0,67.29
20160101060000,18.71,59.7408,15.0,15.0,18.2014,31.7015,75.4743,1.2806,1.2,58.9307,57.0,67.29
20160101061500,3.855,59.7408,15.0,15.0,18.0732,32.9833,74.3222,1.2846,1.2,54.5383,57.0,67.29
20160101063000,29.215,59.7408,15.0,15.0,18.1229,36.1266,74.3222,1.2846,1.2,59.0387,57.0,67.29
20160101064500,0.82,59.7408,15.0,15.0,18.1229,37.5609,74.3222,1.2806,1.2,55.7984,57.0,67.29
20160101070000,24.2,59.7408,15.0,15.0,18.1075,35.4247,74.3222,1.2726,1.2,56.5365,57.0,67.29
20160101071500,16.55,59.7408,15.0,15.0,18.1075,40.2464,74.3222,1.2686,1.2,58.9307,57.0,67.29
20160101073000,2.86,59.7408,15.0,15.0,18.1538,41.2535,74.3222,1.2284,1.2,54.8623,57.0,67.29
20160101074500,30.27,59.7408,15.0,15.0,17.9659,40.7652,74.3222,1.112,1.2,58.6787,57.0,73.035
20160101080000,2.945,59.7408,15.0,15.0,18.0444,40.2159,74.3222,1.2766,1.2,56.0144,57.0,66.34
20160101081500,24.52,59.7408,15.0,15.0,17.8875,39.6971,74.3222,1.12,1.2,56.0144,57.0,68.98
20160101083000,27.225,59.7408,15.0,15.0,17.8407,39.1173,74.3222,1.1441,1.2,59.0387,57.0,68.98
20160101084500,4.605,59.7408,15.0,15.0,17.8875,38.69,75.2763,1.1441,1.2,55.7264,57.0,68.98
20160101090000,18.78,59.7408,15.0,15.0,17.4393,38.1102,75.2763,1.1562,1.2,55.7264,57.0,68.98
20160101091500,19.64,59.7408,15.0,15.0,17.3905,38.1102,75.2763,1.1441,1.2,58.8767,57.0,68.98
20160101093000,7.1,60.3708,15.0,15.0,17.3905,38.1102,75.2763,1.1321,1.2,55.7264,57.0,68.98
20160101094500,25.885,60.3708,15.0,15.0,17.4393,36.8895,74.0522,1.124,1.2,55.7264,57.0,68.98
20160101100000,14.085,60.3708,15.0,15.0,17.1803,36.8895,74.0522,1.124,1.2,57.6346,57.0,68.98
20160101101500,18.28,60.3708,15.0,15.0,17.316,38.0186,73.1341,1.1281,1.2,56.0504,57.0,68.98
20160101103000,20.055,60.3708,15.0,15.0,17.2415,38.7511,73.1341,1.1321,1.2,58.2826,57.0,68.98
20160101104500,5.98,60.3708,15.0,15.0,17.2544,39.453,73.1341,1.1321,1.2,55.3483,57.0,68.98
20160101110000,28.635,60.3708,15.0,15.0,17.316,39.453,74.2142,1.1281,1.2,58.7687,57.0,68.98
20160101111500,6.66,60.3708,15.0,15.0,17.5625,30.1756,74.2142,1.12,1.2,56.4104,57.0,68.98
20160101113000,22.095,60.3708,15.0,15.0,17.4533,30.9691,73.0081,1.112,1.2,56.4104,57.0,68.98
20160101114500,4.905,60.3708,15.0,15.0,17.333,31.3963,73.0081,1.12,1.2,56.4104,57.0,68.98
20160101120000,23.425,60.3708,15.0,15.0,17.4095,30.4198,73.0081,1.112,1.2,56.4104,57.0,68.98
20160101121500,13.675,60.3708,15.0,15.0,17.4095,29.8705,73.8542,0.8832,1.2,55.5104,57.0,72.355
20160101123000,8.62,60.3708,15.0,15.0,17.4533,28.6498,73.8542,1.2565,1.2,55.5104,57.0,72.355
20160101124500,26.82,60.3708,15.0,15.0,17.2983,28.192,74.8443,1.2646,1.2,56.5725,57.0,72.355
20160101130000,10.04,61.0009,15.0,15.0,17.5548,27.8868,74.8443,1.2886,1.2,57.1845,57.0,72.355
20160101131500,28.255,61.0009,15.0,15.0,17.5941,27.8868,74.8443,1.2806,1.2,56.3744,57.0,72.355
20160101133000,19.515,61.0009,15.0,15.0,17.8662,30.4198,73.2421,1.2846,1.2,58.2286,57.0,72.355
20160101134500,29.27,61.0009,15.0,15.0,17.9248,29.4127,73.2421,1.2886,1.2,58.2286,57.0,72.355
20160101140000,9.355,60.3708,15.0,15.0,17.9491,28.8634,73.2421,1.2806,1.2,55.4383,57.0,72.355
20160101141500,24.72,60.3708,15.0,15.0,17.9127,28.8634,74.2142,1.2927,1.2,58.4446,57.0,72.355
20160101143000,19.3,60.3708,15.0,15.0,17.9491,28.2225,74.2142,1.2927,1.2,58.4446,57.0,72.355
20160101144500,28.0,60.3708,15.0,15.0,18.0916,28.2225,74.2142,1.2806,1.2,56.6625,57.0,72.355
