PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,176.4,60.0,48,47.2,67.9,68.0,59.8
20160101001500,176.4,60.0,48,47.2,68.0,68.0,59.8
20160101003000,176.4,60.0,48,47.2,68.1,68.0,59.8
20160101004500,176.4,60.0,48,47.2,68.0,68.0,59.8
20160101010000,178.2,60.6122,48,47.2,68.0,68.0,59.8
20160101011500,175.8,59.7959,48,47.2,67.9,68.0,59.8
20160101013000,177.6,60.4082,48,47.2,68.0,68.0,59.8
20160101014500,177.6,60.4082,48,47.2,68.1,68.0,59.8
20160101020000,177.6,60.4082,48,47.2,67.9,68.0,59.8
20160101021500,177.6,60.4082,48,47.2,67.9,68.0,59.8
20160101023000,177.6,60.4082,48,47.2,67.9,68.0,59.8
20160101024500,177.6,60.4082,48,47.2,68.0,68.0,59.8
20160101030000,177.6,60.4082,48,47.2,67.9,68.0,59.8
20160101031500,177.6,60.4082,48,47.2,67.9,68.0,59.8
20160101033000,177.6,60.4082,48,47.2,67.7,68.0,59.8
20160101034500,158.4,53.8775,45,47.2,67.5,68.0,59.8
20160101040000,141.0,47.9592,43,47.2,67.5,68.0,59.8
20160101041500,119.4,40.6122,39,47.2,67.5,68.0,59.8
20160101043000,111.6,37.9592,38,47.2,67.6,68.0,59.8
20160101044500,99.0,33.6735,36,47.9,67.7,68.0,59.8
20160101050000,100.2,34.0816,36,47.9,67.7,68.0,59.8
20160101051500,91.8,31.2245,35,47.9,67.7,68.0,59.8
20160101053000,89.4,30.4082,34,47.9,67.7,68.0,59.8
20160101054500,80.4,27.3469,33,47.9,67.7,68.0,59.8
20160101060000,80.4,27.3469,33,47.9,67.8,68.0,59.8
20160101061500,80.4,27.3469,33,47.9,67.7,68.0,59.8
20160101063000,80.4,27.3469,33,47.9,67.8,68.0,59.8
20160101064500,82.2,27.9592,33,47.9,67.9,68.0,59.8
20160101070000,82.2,27.9592,33,47.9,68.1,68.0,59.8
20160101071500,80.4,27.3469,33,47.9,68.2,68.0,59.8
20160101073000,99.0,33.6735,36,47.9,68.5,68.0,59.8
20160101074500,51.6,17.551,26,47.9,67.2,68.0,59.8
20160101080000,68.4,23.2653,32,48.7,68.1,68.0,59.8
20160101081500,0.0,0.0,9,49.8,67.6,68.0,59.8
20160101083000,58.2,19.7959,31,49.8,68.2,68.0,59.8
20160101084500,79.2,26.9388,34,48.3,68.3,68.0,59.8
20160101090000,79.2,26.9388,34,48.3,68.2,68.0,59.8
20160101091500,103.8,35.3061,38,48.3,68.4,68.0,59.8
20160101093000,136.2,46.3265,43,47.6,68.2,68.0,59.8
20160101094500,115.2,39.1837,39,47.6,67.8,68.0,59.8
20160101100000,111.6,37.9592,39,47.6,67.7,68.0,59.8
20160101101500,80.4,27.3469,34,48.3,68.3,68.0,59.8
20160101103000,185.4,63.0612,50,47.3,68.9,68.0,59.8
20160101104500,240.6,81.8367,58,47.3,68.9,68.0,59.8
20160101110000,215.4,73.2653,55,46.4,67.9,68.0,59.8
20160101111500,215.4,73.2653,54,47.2,67.9,68.0,59.8
20160101113000,215.4,73.2653,54,47.2,68.1,68.0,59.8
20160101114500,190.8,64.898,50,47.2,67.6,68.0,59.8
20160101120000,148.8,50.6122,44,47.2,67.3,68.0,59.8
20160101121500,148.8,50.6122,46,48.2,67.8,68.0,59.8
20160101123000,102.6,34.898,37,48.2,67.3,68.0,59.8
20160101124500,105.0,35.7143,39,48.2,67.7,68.0,59.8
20160101130000,73.2,24.898,34,48.2,67.8,68.0,59.8
20160101131500,150.0,51.0204,46,48.2,68.9,68.0,59.8
20160101133000,219.0,74.4898,55,47.1,68.5,68.0,59.8
20160101134500,195.0,66.3265,52,47.1,68.5,68.0,59.8
20160101140000,211.2,71.8367,54,47.1,68.4,68.0,59.8
20160101141500,193.2,65.7143,51,47.1,67.6,68.0,59.8
20160101143000,193.2,65.7143,51,47.1,68.0,68.0,59.8
20160101144500,206.4,70.2041,53,47.1,68.3,68.0,59.8
20160101150000,214.8,73.0612,54,47.1,67.7,68.0,59.8
20160101151500,206.4,70.2041,53,47.1,67.9,68.0,59.8
20160101153000,206.4,70.2041,53,47.1,68.2,68.0,59.8
20160101154500,206.4,70.2041,53,47.1,68.1,68.0,59.8
20160101160000,206.4,70.2041,53,47.1,67.9,68.0,59.8
20160101161500,206.4,70.2041,53,47.1,68.1,68.0,59.8
20160101163000,183.0,62.2449,50,47.1,67.6,68.0,59.8
20160101164500,183.0,62.2449,50,47.1,68.0,68.0,59.8
20160101170000,183.0,62.2449,50,46.6,68.2,68.0,59.8
20160101171500,191.4,65.102,51,46.6,68.3,68.0,59.8
20160101173000,202.8,68.9796,52,46.6,68.2,68.0,59.8
20160101174500,262.2,89.1837,60,46.6,68.8,68.0,59.8
20160101180000,287.4,97.7551,63,46.6,68.8,68.0,59.8
20160101181500,262.2,89.1837,60,46.6,68.1,68.0,59.8
20160101183000,262.2,89.1837,60,46.1,67.8,68.0,59.8
20160101184500,225.6,76.7347,56,46.7,67.6,68.0,59.8
20160101190000,210.6,71.6327,54,46.7,67.6,68.0,59.8
20160101191500,204.6,69.5918,52,46.7,67.6,68.0,59.8
20160101193000,185.4,63.0612,50,46.7,67.6,68.0,59.8
20160101194500,172.2,58.5714,48,46.7,67.5,68.0,59.8
20160101200000,147.6,50.2041,45,46.7,67.6,68.0,59.8
20160101201500,139.2,47.3469,43,46.7,67.6,68.0,59.8
20160101203000,125.4,42.6531,40,47.3,67.6,68.0,59.8
20160101204500,107.4,36.5306,37,47.3,67.5,68.0,59.8
20160101210000,100.2,34.0816,36,47.3,67.6,68.0,59.8
20160101211500,87.6,29.7959,34,47.9,67.6,68.0,59.8
20160101213000,80.4,27.3469,33,47.9,67.7,68.0,59.8
20160101214500,79.2,26.9388,33,47.9,67.7,68.0,59.8
20160101220000,79.2,26.9388,33,47.9,67.7,68.0,59.8
20160101221500,79.2,26.9388,33,47.9,67.7,68.0,59.8
20160101223000,79.2,26.9388,33,47.9,67.9,68.0,59.8
20160101224500,79.2,26.9388,33,47.9,67.9,68.0,59.8
20160101230000,79.2,26.9388,33,47.9,67.7,68.0,59.8
20160101231500,79.2,26.9388,33,47.9,67.7,68.0,59.8
20160101233000,75.0,25.5102,32,47.9,67.7,68.0,59.8
20160101234500,76.8,26.1225,32,47.9,67.7,68.0,59.8
20160102000000,75.0,25.5102,32,47.9,67.7,68.0,59.8
20160102001500,70.2,23.8775,31,47.9,67.8,68.0,59.8
20160102003000,70.2,23.8775,31,47.9,67.9,68.0,59.8
20160102004500,68.4,23.2653,31,47.9,67.9,68.0,59.8
20160102010000,68.4,23.2653,31,47.9,67.9,68.0,59.8
20160102011500,64.8,22.0408,0,48.6,67.9,68.0,59.8
20160102013000,0.0,0.0,5,52.2,68.5,68.0,59.8
20160102014500,49.2,16.7347,26,53.1,68.5,68.0,59.8
20160102020000,55.8,18.9796,29,49.9,68.3,68.0,59.8
20160102021500,55.8,18.9796,29,49.1,68.1,68.0,59.8
20160102023000,55.8,18.9796,29,49.1,68.0,68.0,59.8
20160102024500,55.8,18.9796,29,49.1,68.0,68.0,59.8
20160102030000,55.8,18.9796,29,49.1,67.9,68.0,59.8
20160102031500,58.2,19.7959,29,49.1,67.9,68.0,59.8
20160102033000,46.2,15.7143,28,49.1,67.9,68.0,59.8
20160102034500,51.6,17.551,28,49.1,67.8,68.0,59.8
20160102040000,51.6,17.551,28,49.1,67.9,68.0,59.8
20160102041500,51.6,17.551,28,49.1,67.9,68.0,59.8
20160102043000,51.6,17.551,28,49.1,67.8,68.0,59.8
20160102044500,51.6,17.551,28,49.1,67.8,68.0,59.8
20160102050000,49.2,16.7347,28,49.1,67.8,68.0,59.8
20160102051500,51.6,17.551,29,49.1,67.8,68.0,59.8
