PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,619.5,619.5,619.5,100.0,72,63.0,100,63.7,75.0,72.0
20160101001500,619.5,619.5,619.5,100.0,72,63.0,100,63.7,75.0,72.0
20160101003000,619.5,619.5,619.5,100.0,72,66.2,100,63.6,75.0,72.0
20160101004500,619.5,619.5,619.5,100.0,72,62.4,100,63.7,75.0,72.0
20160101010000,619.5,619.5,619.5,100.0,72,64.9,100,63.8,75.0,72.0
20160101011500,619.5,619.5,619.5,100.0,72,65.8,100,63.7,75.0,72.0
20160101013000,619.5,619.5,619.5,100.0,72,62.0,100,63.7,75.0,72.0
20160101014500,619.5,619.5,619.5,100.0,72,65.3,100,63.6,75.0,72.0
20160101020000,619.5,619.5,613.2,98.9831,72,65.3,100,63.5,75.0,72.0
20160101021500,619.5,619.5,619.5,100.0,72,65.3,100,63.5,75.0,72.0
20160101023000,619.5,619.5,613.2,98.9831,72,64.0,100,63.5,75.0,72.0
20160101024500,619.5,619.5,619.5,100.0,72,64.0,100,63.5,75.0,72.0
20160101030000,619.5,619.5,619.5,100.0,72,61.8,100,63.5,75.0,72.0
20160101031500,619.5,619.5,619.5,100.0,72,65.3,100,63.5,75.0,72.0
20160101033000,619.5,619.5,619.5,100.0,72,65.3,100,63.3,75.0,72.0
20160101034500,619.5,619.5,619.5,100.0,72,62.0,100,63.3,75.0,72.0
20160101040000,619.5,619.5,619.5,100.0,72,62.0,100,63.3,75.0,72.0
20160101041500,619.5,619.5,613.2,98.9831,72,65.3,100,63.2,75.0,72.0
20160101043000,619.5,619.5,619.5,100.0,72,63.2,100,63.3,75.0,72.0
20160101044500,619.5,619.5,619.5,100.0,72,65.4,100,63.1,75.0,72.0
20160101050000,619.5,619.5,619.5,100.0,72,65.4,100,63.2,75.0,72.0
20160101051500,619.5,619.5,619.5,100.0,72,65.4,100,63.2,75.0,72.0
20160101053000,619.5,619.5,619.5,100.0,72,61.6,100,63.2,75.0,72.0
20160101054500,619.5,619.5,619.5,100.0,72,65.3,100,63.1,75.0,72.0
20160101060000,619.5,619.5,619.5,100.0,72,64.0,100,63.1,75.0,72.0
20160101061500,619.5,619.5,613.2,98.9831,72,62.5,100,63.1,75.0,72.0
20160101063000,619.5,619.5,619.5,100.0,72,65.3,100,63.0,75.0,72.0
20160101064500,619.5,619.5,619.5,100.0,72,65.3,100,63.0,75.0,72.0
20160101070000,619.5,619.5,619.5,100.0,72,65.3,100,63.2,75.0,72.0
20160101071500,619.5,619.5,619.5,100.0,72,65.3,100,63.1,75.0,72.0
20160101073000,619.5,619.5,619.5,100.0,72,65.3,100,63.1,75.0,72.0
20160101074500,619.5,619.5,619.5,100.0,72,65.3,100,63.1,75.0,72.0
20160101080000,619.5,619.5,619.5,100.0,72,62.4,100,63.0,75.0,72.0
20160101081500,619.5,619.5,619.5,100.0,72,62.4,100,63.0,75.0,72.0
20160101083000,619.5,619.5,619.5,100.0,72,61.6,100,63.0,75.0,72.0
20160101084500,619.5,619.5,619.5,100.0,72,61.6,100,63.0,75.0,72.0
20160101090000,619.5,619.5,619.5,100.0,72,64.4,100,62.8,75.0,72.0
20160101091500,619.5,619.5,619.5,100.0,72,64.4,100,62.8,75.0,72.0
20160101093000,619.5,619.5,619.5,100.0,72,65.5,100,62.9,75.0,72.0
20160101094500,619.5,619.5,619.5,100.0,72,65.5,100,63.0,75.0,72.0
20160101100000,619.5,619.5,613.2,98.9831,72,65.5,100,63.0,75.0,72.0
20160101101500,619.5,619.5,624.75,100.8475,72,64.8,100,63.0,75.0,72.0
20160101103000,619.5,619.5,624.75,100.8475,72,65.8,100,62.9,75.0,72.0
20160101104500,619.5,619.5,613.2,98.9831,72,65.8,100,62.9,75.0,72.0
20160101110000,619.5,619.5,619.5,100.0,72,64.4,100,62.9,75.0,72.0
20160101111500,619.5,619.5,619.5,100.0,72,62.4,100,62.9,75.0,72.0
20160101113000,619.5,619.5,619.5,100.0,72,62.4,100,62.8,75.0,72.0
20160101114500,619.5,619.5,619.5,100.0,72,62.4,100,62.8,75.0,72.0
20160101120000,619.5,619.5,613.2,98.9831,72,63.2,100,62.9,75.0,72.0
20160101121500,619.5,619.5,624.75,100.8475,72,64.4,100,62.9,75.0,72.0
20160101123000,619.5,619.5,613.2,98.9831,72,65.8,100,63.0,75.0,72.0
20160101124500,619.5,619.5,624.75,100.8475,72,62.4,100,62.9,75.0,72.0
20160101130000,619.5,619.5,624.75,100.8475,72,65.3,100,62.9,75.0,72.0
20160101131500,619.5,619.5,624.75,100.8475,72,66.2,100,63.0,75.0,72.0
20160101133000,619.5,619.5,624.75,100.8475,72,63.1,100,63.0,75.0,72.0
20160101134500,619.5,619.5,624.75,100.8475,72,63.1,100,63.0,75.0,72.0
20160101140000,619.5,619.5,624.75,100.8475,72,64.8,100,62.9,75.0,72.0
20160101141500,619.5,619.5,613.2,98.9831,72,64.8,100,62.8,75.0,72.0
20160101143000,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101144500,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101150000,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101151500,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101153000,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101154500,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101160000,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101161500,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101163000,619.5,619.5,619.5,100.0,72,64.8,100,63.0,75.0,72.0
20160101164500,619.5,619.5,619.5,100.0,72,64.8,100,62.9,75.0,72.0
20160101170000,619.5,619.5,613.2,98.9831,72,64.8,100,62.9,75.0,72.0
20160101171500,619.5,619.5,619.5,100.0,72,64.8,100,62.8,75.0,72.0
20160101173000,619.5,619.5,613.2,98.9831,72,64.8,100,62.8,75.0,72.0
20160101174500,619.5,619.5,613.2,98.9831,72,65.5,100,62.9,75.0,72.0
20160101180000,619.5,619.5,619.5,100.0,72,65.5,100,62.8,75.0,72.0
20160101181500,619.5,619.5,619.5,100.0,72,64.8,100,62.9,75.0,72.0
20160101183000,619.5,619.5,619.5,100.0,72,64.8,100,62.8,75.0,72.0
20160101184500,619.5,619.5,619.5,100.0,72,64.8,100,62.8,75.0,72.0
20160101190000,619.5,619.5,619.5,100.0,72,62.4,100,62.8,75.0,72.0
20160101191500,619.5,619.5,619.5,100.0,72,62.4,100,62.8,75.0,72.0
20160101193000,619.5,619.5,619.5,100.0,72,64.4,100,62.7,75.0,72.0
20160101194500,619.5,619.5,619.5,100.0,72,65.3,100,62.7,75.0,72.0
20160101200000,619.5,619.5,619.5,100.0,72,65.3,100,62.7,75.0,72.0
20160101201500,619.5,619.5,613.2,98.9831,72,65.3,100,62.7,75.0,72.0
20160101203000,619.5,619.5,619.5,100.0,72,65.3,100,62.6,75.0,72.0
20160101204500,619.5,619.5,619.5,100.0,72,62.0,100,62.6,75.0,72.0
20160101210000,619.5,619.5,619.5,100.0,72,62.7,100,62.6,75.0,72.0
20160101211500,619.5,619.5,619.5,100.0,72,64.4,100,62.6,75.0,72.0
20160101213000,619.5,619.5,619.5,100.0,72,64.4,100,62.6,75.0,72.0
20160101214500,619.5,619.5,613.2,98.9831,72,64.4,100,62.6,75.0,72.0
20160101220000,619.5,619.5,619.5,100.0,72,64.4,100,62.6,75.0,72.0
20160101221500,619.5,619.5,619.5,100.0,72,64.4,100,62.5,75.0,72.0
20160101223000,619.5,619.5,619.5,100.0,72,64.4,100,62.5,75.0,72.0
20160101224500,619.5,619.5,619.5,100.0,72,64.4,100,62.5,75.0,72.0
20160101230000,619.5,619.5,619.5,100.0,72,64.4,100,62.5,75.0,72.0
20160101231500,619.5,619.5,619.5,100.0,72,64.4,100,62.5,75.0,72.0
20160101233000,619.5,619.5,619.5,100.0,72,63.4,100,62.5,75.0,72.0
20160101234500,619.5,619.5,619.5,100.0,72,63.4,100,62.5,75.0,72.0
20160102000000,619.5,619.5,619.5,100.0,72,64.8,100,62.4,75.0,72.0
20160102001500,619.5,619.5,619.5,100.0,72,64.0,100,62.5,75.0,72.0
20160102003000,619.5,619.5,613.2,98.9831,72,64.0,100,62.4,75.0,72.0
20160102004500,619.5,619.5,619.5,100.0,72,64.8,100,62.5,75.0,72.0
20160102010000,619.5,619.5,619.5,100.0,72,64.8,100,62.4,75.0,72.0
20160102011500,619.5,619.5,602.7,97.2881,73,64.8,100,62.5,75.0,72.0
20160102013000,619.5,619.5,613.2,98.9831,74,64.8,100,62.5,75.0,72.0
20160102014500,619.5,619.5,613.2,98.9831,74,64.8,100,62.5,75.0,72.0
20160102020000,619.5,619.5,602.7,97.2881,74,64.0,100,62.5,75.0,72.0
20160102021500,619.5,619.5,602.7,97.2881,74,64.0,100,62.5,75.0,72.0
20160102023000,619.5,619.5,602.7,97.2881,74,64.8,100,62.5,75.0,72.0
20160102024500,619.5,619.5,602.7,97.2881,74,64.8,100,62.4,75.0,72.0
20160102030000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102031500,619.5,619.5,613.2,98.9831,74,64.0,100,62.4,75.0,72.0
20160102033000,619.5,619.5,619.5,100.0,74,64.0,100,62.3,75.0,72.0
20160102034500,619.5,619.5,613.2,98.9831,74,64.0,100,62.3,75.0,72.0
20160102040000,619.5,619.5,613.2,98.9831,74,64.0,100,62.4,75.0,72.0
20160102041500,619.5,619.5,619.5,100.0,74,64.0,100,62.3,75.0,72.0
20160102043000,619.5,619.5,613.2,98.9831,74,64.0,100,62.3,75.0,72.0
20160102044500,619.5,619.5,613.2,98.9831,74,64.0,100,62.3,75.0,72.0
20160102050000,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102051500,619.5,619.5,619.5,100.0,74,64.8,100,62.3,75.0,72.0
20160102053000,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102054500,619.5,619.5,613.2,98.9831,74,64.8,100,62.2,75.0,72.0
20160102060000,619.5,619.5,619.5,100.0,74,64.8,100,62.3,75.0,72.0
20160102061500,619.5,619.5,613.2,98.9831,74,64.8,100,62.2,75.0,72.0
20160102063000,619.5,619.5,619.5,100.0,74,64.8,100,62.3,75.0,72.0
20160102064500,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102070000,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102071500,619.5,619.5,613.2,98.9831,74,63.8,100,62.2,75.0,72.0
20160102073000,619.5,619.5,613.2,98.9831,74,64.8,100,62.2,75.0,72.0
20160102074500,619.5,619.5,613.2,98.9831,74,63.6,100,62.2,75.0,72.0
20160102080000,619.5,619.5,613.2,98.9831,74,64.4,100,62.2,75.0,72.0
20160102081500,619.5,619.5,613.2,98.9831,74,63.4,100,62.1,75.0,72.0
20160102083000,619.5,619.5,613.2,98.9831,74,63.4,100,62.1,75.0,72.0
20160102084500,619.5,619.5,613.2,98.9831,74,62.7,100,62.2,75.0,72.0
20160102090000,619.5,619.5,613.2,98.9831,74,61.9,100,62.1,75.0,72.0
20160102091500,619.5,619.5,619.5,100.0,74,61.9,100,62.2,75.0,72.0
20160102093000,619.5,619.5,613.2,98.9831,74,61.9,100,62.1,75.0,72.0
20160102094500,619.5,619.5,613.2,98.9831,74,61.9,100,62.2,75.0,72.0
20160102100000,619.5,619.5,613.2,98.9831,74,61.9,100,62.2,75.0,72.0
20160102101500,619.5,619.5,613.2,98.9831,74,63.2,100,62.2,75.0,72.0
20160102103000,619.5,619.5,613.2,98.9831,74,63.2,100,62.2,75.0,72.0
20160102104500,619.5,619.5,619.5,100.0,74,63.2,100,62.2,75.0,72.0
20160102110000,619.5,619.5,613.2,98.9831,74,61.6,100,62.2,75.0,72.0
20160102111500,619.5,619.5,613.2,98.9831,74,63.2,100,62.2,75.0,72.0
20160102113000,619.5,619.5,613.2,98.9831,74,64.0,100,62.2,75.0,72.0
20160102114500,619.5,619.5,619.5,100.0,74,63.2,100,62.2,75.0,72.0
20160102120000,619.5,619.5,613.2,98.9831,74,61.9,100,62.2,75.0,72.0
20160102121500,619.5,619.5,613.2,98.9831,74,63.6,100,62.2,75.0,72.0
20160102123000,619.5,619.5,613.2,98.9831,74,66.2,100,62.3,75.0,72.0
20160102124500,619.5,619.5,613.2,98.9831,74,64.3,100,62.2,75.0,72.0
20160102130000,619.5,619.5,613.2,98.9831,74,65.7,100,62.2,75.0,72.0
20160102131500,619.5,619.5,613.2,98.9831,74,65.7,100,62.3,75.0,72.0
20160102133000,619.5,619.5,619.5,100.0,74,65.7,100,62.3,75.0,72.0
20160102134500,619.5,619.5,613.2,98.9831,74,65.7,100,62.4,75.0,72.0
20160102140000,619.5,619.5,619.5,100.0,74,64.0,100,62.4,75.0,72.0
20160102141500,619.5,619.5,619.5,100.0,74,64.0,100,62.4,75.0,72.0
20160102143000,619.5,619.5,613.2,98.9831,74,61.6,100,62.4,75.0,72.0
20160102144500,619.5,619.5,619.5,100.0,74,65.8,100,62.4,75.0,72.0
20160102150000,619.5,619.5,613.2,98.9831,74,65.8,100,62.4,75.0,72.0
20160102151500,619.5,619.5,619.5,100.0,74,62.8,100,62.5,75.0,72.0
20160102153000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102154500,619.5,619.5,613.2,98.9831,74,64.8,100,62.5,75.0,72.0
20160102160000,619.5,619.5,613.2,98.9831,74,64.8,100,62.5,75.0,72.0
20160102161500,619.5,619.5,613.2,98.9831,74,64.8,100,62.5,75.0,72.0
20160102163000,619.5,619.5,619.5,100.0,74,62.9,100,62.5,75.0,72.0
20160102164500,619.5,619.5,613.2,98.9831,74,62.0,100,62.5,75.0,72.0
20160102170000,619.5,619.5,619.5,100.0,74,62.0,100,62.5,75.0,72.0
20160102171500,619.5,619.5,619.5,100.0,74,62.0,100,62.5,75.0,72.0
20160102173000,619.5,619.5,613.2,98.9831,74,62.0,100,62.5,75.0,72.0
20160102174500,619.5,619.5,613.2,98.9831,74,63.6,100,62.5,75.0,72.0
20160102180000,619.5,619.5,619.5,100.0,74,65.3,100,62.4,75.0,72.0
20160102181500,619.5,619.5,613.2,98.9831,74,62.8,100,62.4,75.0,72.0
20160102183000,619.5,619.5,613.2,98.9831,74,61.9,100,62.4,75.0,72.0
20160102184500,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102190000,619.5,619.5,613.2,98.9831,74,62.4,100,62.4,75.0,72.0
20160102191500,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102193000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102194500,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102200000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102201500,619.5,619.5,619.5,100.0,74,64.8,100,62.4,75.0,72.0
20160102203000,619.5,619.5,613.2,98.9831,74,62.0,100,62.4,75.0,72.0
20160102204500,619.5,619.5,613.2,98.9831,74,62.0,100,62.4,75.0,72.0
20160102210000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102211500,619.5,619.5,619.5,100.0,74,64.8,100,62.4,75.0,72.0
20160102213000,619.5,619.5,613.2,98.9831,74,64.8,100,62.4,75.0,72.0
20160102214500,619.5,619.5,613.2,98.9831,74,62.0,100,62.4,75.0,72.0
20160102220000,619.5,619.5,613.2,98.9831,74,62.0,100,62.4,75.0,72.0
20160102221500,619.5,619.5,619.5,100.0,74,62.0,100,62.4,75.0,72.0
20160102223000,619.5,619.5,613.2,98.9831,74,62.0,100,62.3,75.0,72.0
20160102224500,619.5,619.5,619.5,100.0,74,64.0,100,62.3,75.0,72.0
20160102230000,619.5,619.5,613.2,98.9831,74,63.1,100,62.3,75.0,72.0
20160102231500,619.5,619.5,619.5,100.0,74,64.8,100,62.3,75.0,72.0
20160102233000,619.5,619.5,613.2,98.9831,74,64.8,100,62.3,75.0,72.0
20160102234500,619.5,619.5,613.2,98.9831,74,63.8,100,62.2,75.0,72.0
20160103000000,619.5,619.5,613.2,98.9831,74,62.8,100,62.2,75.0,72.0
20160103001500,619.5,619.5,619.5,100.0,74,65.3,100,62.2,75.0,72.0
20160103003000,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103004500,619.5,619.5,613.2,98.9831,74,63.8,100,62.3,75.0,72.0
20160103010000,619.5,619.5,613.2,98.9831,74,62.0,100,62.3,75.0,72.0
20160103011500,619.5,619.5,619.5,100.0,74,62.0,100,62.2,75.0,72.0
20160103013000,619.5,619.5,619.5,100.0,74,63.5,100,62.2,75.0,72.0
20160103014500,619.5,619.5,619.5,100.0,74,64.5,100,62.2,75.0,72.0
20160103020000,619.5,619.5,619.5,100.0,74,64.5,100,62.2,75.0,72.0
20160103021500,619.5,619.5,613.2,98.9831,74,64.5,100,62.2,75.0,72.0
20160103023000,619.5,619.5,613.2,98.9831,74,64.5,100,62.2,75.0,72.0
20160103024500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103030000,619.5,619.5,613.2,98.9831,74,64.0,100,62.2,75.0,72.0
20160103031500,619.5,619.5,619.5,100.0,74,62.4,100,62.3,75.0,72.0
20160103033000,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103034500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103040000,619.5,619.5,613.2,98.9831,74,64.4,100,62.2,75.0,72.0
20160103041500,619.5,619.5,613.2,98.9831,74,65.3,100,62.2,75.0,72.0
20160103043000,619.5,619.5,613.2,98.9831,74,62.8,100,62.2,75.0,72.0
20160103044500,619.5,619.5,613.2,98.9831,74,64.8,100,62.2,75.0,72.0
20160103050000,619.5,619.5,619.5,100.0,74,64.8,100,62.1,75.0,72.0
20160103051500,619.5,619.5,619.5,100.0,74,64.8,100,62.1,75.0,72.0
20160103053000,619.5,619.5,613.2,98.9831,74,64.0,100,62.0,75.0,72.0
20160103054500,619.5,619.5,613.2,98.9831,74,64.8,100,62.1,75.0,72.0
