PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101001500,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101003000,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101004500,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101010000,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101011500,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101013000,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101014500,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101020000,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101021500,241.9,0.0,0.0,0,58.8,67.1,69.9,66.9
20160101023000,241.9,0.0,0.0,0,58.8,67.0,69.9,66.9
20160101024500,241.9,0.0,0.0,0,58.8,67.0,69.9,66.9
20160101030000,241.9,0.0,0.0,0,58.8,67.0,69.9,66.9
20160101031500,241.9,0.0,0.0,0,58.2,67.0,69.9,66.9
20160101033000,241.9,0.0,0.0,0,58.2,67.0,69.9,66.9
20160101034500,241.9,0.0,0.0,0,58.2,67.0,69.9,66.9
20160101040000,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101041500,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101043000,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101044500,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101050000,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101051500,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101053000,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101054500,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101060000,241.9,0.0,0.0,0,58.2,66.9,69.9,66.9
20160101061500,241.9,0.0,0.0,0,58.2,66.8,69.9,66.9
20160101063000,241.9,0.0,0.0,0,58.2,66.8,69.9,66.9
20160101064500,241.9,0.0,0.0,0,58.2,66.8,69.9,66.9
20160101070000,241.9,0.0,0.0,0,58.2,66.8,69.9,66.9
