PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,493.5,493.5,514.65,104.2857,24,52.3,62.1,69.5,66.5
20160101001500,493.5,493.5,507.6,102.8571,24,52.3,62.1,69.5,66.5
20160101003000,493.5,493.5,507.6,102.8571,24,52.3,62.0,69.5,66.5
20160101004500,493.5,493.5,514.65,104.2857,24,52.3,62.0,69.5,66.5
20160101010000,493.5,493.5,514.65,104.2857,24,52.3,62.0,69.5,66.5
20160101011500,493.5,493.5,484.1,98.0952,24,52.3,62.0,69.5,66.5
20160101013000,493.5,493.5,521.7,105.7143,24,51.5,62.0,69.5,66.5
20160101014500,493.5,493.5,509.95,103.3333,24,52.2,61.9,69.5,66.5
20160101020000,493.5,493.5,509.95,103.3333,24,52.2,61.9,69.5,66.5
20160101021500,493.5,493.5,509.95,103.3333,24,51.5,61.8,69.5,66.5
20160101023000,493.5,493.5,519.35,105.2381,24,51.5,61.7,69.5,66.5
20160101024500,493.5,493.5,509.95,103.3333,24,51.5,61.7,69.5,66.5
20160101030000,493.5,493.5,509.95,103.3333,24,51.5,61.6,69.5,66.5
20160101031500,493.5,493.5,509.95,103.3333,24,51.5,61.5,69.5,66.5
20160101033000,493.5,493.5,521.7,105.7143,24,51.5,61.5,69.5,66.5
20160101034500,493.5,493.5,502.9,101.9048,24,51.5,61.5,69.5,66.5
20160101040000,493.5,493.5,502.9,101.9048,24,51.5,61.4,69.5,66.5
20160101041500,493.5,493.5,502.9,101.9048,24,51.5,61.4,69.5,66.5
20160101043000,493.5,493.5,519.35,105.2381,24,51.5,61.4,69.5,66.5
20160101044500,493.5,493.5,519.35,105.2381,24,51.5,61.4,69.5,66.5
20160101050000,493.5,493.5,495.85,100.4762,24,51.5,61.4,69.5,66.5
20160101051500,493.5,493.5,514.65,104.2857,24,51.5,61.3,69.5,66.5
20160101053000,493.5,493.5,502.9,101.9048,24,51.5,61.3,69.5,66.5
20160101054500,493.5,493.5,502.9,101.9048,24,51.5,61.3,69.5,66.5
20160101060000,493.5,493.5,514.65,104.2857,24,50.8,61.2,69.5,66.5
20160101061500,493.5,493.5,514.65,104.2857,24,51.4,61.2,69.5,66.5
20160101063000,493.5,493.5,514.65,104.2857,24,51.4,61.1,69.5,66.5
20160101064500,493.5,493.5,493.5,100.0,24,50.7,61.1,69.5,66.5
20160101070000,493.5,493.5,519.35,105.2381,24,51.4,61.1,69.5,66.5
20160101071500,493.5,493.5,519.35,105.2381,24,51.4,61.0,69.5,66.5
20160101073000,493.5,493.5,519.35,105.2381,24,51.4,61.0,69.5,66.5
20160101074500,493.5,493.5,509.95,103.3333,24,51.4,61.0,69.5,66.5
20160101080000,493.5,493.5,495.85,100.4762,24,51.4,61.0,69.5,66.5
20160101081500,493.5,493.5,507.6,102.8571,24,51.4,61.0,69.5,66.5
20160101083000,493.5,493.5,514.65,104.2857,24,51.4,60.9,69.5,66.5
20160101084500,493.5,493.5,514.65,104.2857,24,51.4,60.9,69.5,66.5
20160101090000,493.5,493.5,514.65,104.2857,24,51.4,60.9,69.5,66.5
20160101091500,493.5,493.5,502.9,101.9048,24,51.4,60.9,69.5,66.5
20160101093000,493.5,493.5,526.4,106.6667,24,51.4,60.9,69.5,66.5
20160101094500,493.5,493.5,509.95,103.3333,24,51.4,60.9,69.5,66.5
20160101100000,493.5,493.5,521.7,105.7143,24,51.4,60.9,69.5,66.5
20160101101500,493.5,493.5,521.7,105.7143,24,51.4,60.9,69.5,66.5
20160101103000,493.5,493.5,521.7,105.7143,24,51.4,60.9,69.5,66.5
20160101104500,493.5,493.5,507.6,102.8571,24,51.4,60.9,69.5,66.5
20160101110000,493.5,493.5,521.7,105.7143,24,51.4,60.9,69.5,66.5
20160101111500,493.5,493.5,521.7,105.7143,24,51.4,60.9,69.5,66.5
20160101113000,493.5,493.5,514.65,104.2857,24,51.4,60.9,69.5,66.5
20160101114500,493.5,493.5,514.65,104.2857,24,51.4,60.9,69.5,66.5
20160101120000,493.5,493.5,507.6,102.8571,24,52.0,60.9,69.5,66.5
20160101121500,493.5,493.5,526.4,106.6667,24,52.0,60.9,69.5,66.5
20160101123000,493.5,493.5,502.9,101.9048,23,52.0,60.9,69.5,66.5
20160101124500,493.5,493.5,502.9,101.9048,23,51.4,60.8,69.5,66.5
20160101130000,493.5,493.5,509.95,103.3333,23,51.4,60.8,69.5,66.5
20160101131500,493.5,493.5,495.85,100.4762,23,51.4,60.8,69.5,66.5
20160101133000,493.5,493.5,502.9,101.9048,23,51.4,60.8,69.5,66.5
20160101134500,493.5,493.5,495.85,100.4762,23,51.4,60.8,69.5,66.5
20160101140000,493.5,493.5,502.9,101.9048,23,51.4,60.8,69.5,66.5
20160101141500,493.5,493.5,509.95,103.3333,23,51.4,60.9,69.5,66.5
20160101143000,493.5,493.5,509.95,103.3333,23,51.4,60.9,69.5,66.5
20160101144500,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101150000,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101151500,493.5,493.5,514.65,104.2857,23,51.4,60.9,69.5,66.5
20160101153000,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101154500,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101160000,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101161500,493.5,493.5,509.95,103.3333,23,51.4,60.9,69.5,66.5
20160101163000,493.5,493.5,495.85,100.4762,23,51.4,60.9,69.5,66.5
20160101164500,493.5,493.5,495.85,100.4762,23,51.4,60.8,69.5,66.5
20160101170000,493.5,493.5,507.6,102.8571,23,51.4,60.8,69.5,66.5
20160101171500,493.5,493.5,519.35,105.2381,23,51.4,60.8,69.5,66.5
20160101173000,493.5,493.5,502.9,101.9048,23,51.4,60.8,69.5,66.5
20160101174500,493.5,493.5,481.75,97.619,23,51.4,60.8,69.5,66.5
20160101180000,493.5,493.5,509.95,103.3333,23,51.4,60.7,69.5,66.5
20160101181500,493.5,493.5,509.95,103.3333,23,50.7,60.7,69.5,66.5
20160101183000,493.5,493.5,481.75,97.619,23,51.4,60.7,69.5,66.5
20160101184500,493.5,493.5,481.75,97.619,23,51.4,60.6,69.5,66.5
20160101190000,493.5,493.5,481.75,97.619,23,50.7,60.6,69.5,66.5
20160101191500,493.5,493.5,514.65,104.2857,23,50.7,60.6,69.5,66.5
20160101193000,493.5,493.5,507.6,102.8571,23,50.7,60.6,69.5,66.5
20160101194500,493.5,493.5,493.5,100.0,23,50.7,60.5,69.5,66.5
20160101200000,493.5,493.5,493.5,100.0,23,50.7,60.5,69.5,66.5
20160101201500,493.5,493.5,509.95,103.3333,23,50.7,60.5,69.5,66.5
20160101203000,493.5,493.5,484.1,98.0952,23,51.4,60.5,69.5,66.5
20160101204500,493.5,493.5,493.5,100.0,23,51.4,60.5,69.5,66.5
20160101210000,493.5,493.5,502.9,101.9048,23,51.4,60.5,69.5,66.5
20160101211500,493.5,493.5,509.95,103.3333,23,51.4,60.3,69.5,66.5
20160101213000,493.5,493.5,509.95,103.3333,23,51.4,60.3,69.5,66.5
20160101214500,493.5,493.5,493.5,100.0,23,51.4,60.3,69.5,66.5
20160101220000,493.5,493.5,502.9,101.9048,23,51.4,60.2,69.5,66.5
20160101221500,493.5,493.5,488.8,99.0476,23,51.4,60.2,69.5,66.5
20160101223000,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160101224500,493.5,493.5,507.6,102.8571,23,50.7,60.2,69.5,66.5
20160101230000,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160101231500,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160101233000,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160101234500,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160102000000,493.5,493.5,488.8,99.0476,23,51.4,60.2,69.5,66.5
20160102001500,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160102003000,493.5,493.5,507.6,102.8571,23,51.4,60.2,69.5,66.5
20160102004500,493.5,493.5,493.5,100.0,23,51.4,60.2,69.5,66.5
20160102010000,493.5,493.5,493.5,100.0,23,50.7,60.2,69.5,66.5
20160102011500,493.5,493.5,462.95,93.8095,23,50.7,60.2,69.5,66.5
20160102013000,493.5,493.5,481.75,97.619,23,50.7,60.2,69.5,66.5
20160102014500,493.5,493.5,467.65,94.7619,23,50.7,60.2,69.5,66.5
20160102020000,493.5,493.5,484.1,98.0952,23,50.7,60.2,69.5,66.5
20160102021500,493.5,493.5,477.05,96.6667,23,50.7,60.1,69.5,66.5
20160102023000,493.5,493.5,484.1,98.0952,23,50.7,60.1,69.5,66.5
20160102024500,493.5,493.5,484.1,98.0952,23,50.7,60.1,69.5,66.5
20160102030000,493.5,493.5,477.05,96.6667,23,50.7,60.1,69.5,66.5
20160102031500,493.5,493.5,495.85,100.4762,23,50.7,59.9,69.5,66.5
20160102033000,493.5,493.5,462.95,93.8095,23,50.7,59.9,69.5,66.5
20160102034500,493.5,493.5,477.05,96.6667,23,50.7,59.8,69.5,66.5
20160102040000,493.5,493.5,495.85,100.4762,23,50.7,59.7,69.5,66.5
20160102041500,493.5,493.5,472.35,95.7143,23,50.7,59.7,69.5,66.5
20160102043000,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102044500,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102050000,493.5,493.5,477.05,96.6667,23,50.7,59.7,69.5,66.5
20160102051500,493.5,493.5,477.05,96.6667,23,50.7,59.7,69.5,66.5
20160102053000,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102054500,493.5,493.5,481.75,97.619,23,50.7,59.7,69.5,66.5
20160102060000,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102061500,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102063000,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102064500,493.5,493.5,488.8,99.0476,23,50.7,59.7,69.5,66.5
20160102070000,493.5,493.5,472.35,95.7143,23,50.7,59.7,69.5,66.5
20160102071500,493.5,493.5,472.35,95.7143,23,50.7,59.7,69.5,66.5
20160102073000,493.5,493.5,484.1,98.0952,23,50.7,59.7,69.5,66.5
20160102074500,493.5,493.5,484.1,98.0952,23,50.7,59.7,69.5,66.5
20160102080000,493.5,493.5,472.35,95.7143,23,50.7,59.7,69.5,66.5
20160102081500,493.5,493.5,462.95,93.8095,23,50.7,59.7,69.5,66.5
20160102083000,493.5,493.5,477.05,96.6667,23,50.7,59.7,69.5,66.5
20160102084500,493.5,493.5,484.1,98.0952,23,50.7,59.7,69.5,66.5
20160102090000,493.5,493.5,493.5,100.0,23,50.7,59.7,69.5,66.5
20160102091500,493.5,493.5,458.25,92.8571,23,50.7,59.7,69.5,66.5
20160102093000,493.5,493.5,493.5,100.0,24,50.7,59.7,69.5,66.5
20160102094500,493.5,493.5,502.9,101.9048,24,50.7,59.7,69.5,66.5
20160102100000,493.5,493.5,488.8,99.0476,24,50.7,59.7,69.5,66.5
20160102101500,493.5,493.5,481.75,97.619,24,50.7,59.7,69.5,66.5
20160102103000,493.5,493.5,493.5,100.0,24,50.7,59.7,69.5,66.5
20160102104500,493.5,493.5,493.5,100.0,24,51.4,59.7,69.5,66.5
20160102110000,493.5,493.5,502.9,101.9048,24,50.7,59.7,69.5,66.5
20160102111500,493.5,493.5,488.8,99.0476,24,51.5,59.7,69.5,66.5
20160102113000,493.5,493.5,495.85,100.4762,24,51.5,59.7,69.5,66.5
20160102114500,493.5,493.5,481.75,97.619,24,50.7,59.7,69.5,66.5
20160102120000,493.5,493.5,481.75,97.619,24,50.7,59.7,69.5,66.5
20160102121500,493.5,493.5,481.75,97.619,24,50.7,59.7,69.5,66.5
20160102123000,493.5,493.5,488.8,99.0476,24,51.8,59.7,69.5,66.5
20160102124500,493.5,493.5,481.75,97.619,24,51.1,59.8,69.5,66.5
20160102130000,493.5,493.5,488.8,99.0476,24,51.1,59.9,69.5,66.5
20160102131500,493.5,493.5,488.8,99.0476,24,51.1,60.0,69.5,66.5
20160102133000,493.5,493.5,495.85,100.4762,24,51.1,60.1,69.5,66.5
20160102134500,493.5,493.5,502.9,101.9048,24,51.8,60.1,69.5,66.5
20160102140000,493.5,493.5,502.9,101.9048,24,51.8,60.1,69.5,66.5
20160102141500,493.5,493.5,514.65,104.2857,24,51.8,60.1,69.5,66.5
20160102143000,493.5,493.5,514.65,104.2857,24,51.1,60.1,69.5,66.5
20160102144500,493.5,493.5,507.6,102.8571,24,51.8,60.1,69.5,66.5
20160102150000,493.5,493.5,514.65,104.2857,24,51.8,60.1,69.5,66.5
20160102151500,493.5,493.5,507.6,102.8571,24,51.8,60.1,69.5,66.5
20160102153000,493.5,493.5,493.5,100.0,24,51.1,60.1,69.5,66.5
20160102154500,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102160000,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102161500,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102163000,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102164500,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102170000,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102171500,493.5,493.5,519.35,105.2381,24,51.1,60.2,69.5,66.5
20160102173000,493.5,493.5,519.35,105.2381,24,51.1,60.2,69.5,66.5
20160102174500,493.5,493.5,519.35,105.2381,24,51.1,60.2,69.5,66.5
20160102180000,493.5,493.5,507.6,102.8571,24,51.1,60.2,69.5,66.5
20160102181500,493.5,493.5,507.6,102.8571,24,50.3,60.2,69.5,66.5
20160102183000,493.5,493.5,507.6,102.8571,24,51.0,60.2,69.5,66.5
20160102184500,493.5,493.5,507.6,102.8571,24,51.0,60.2,69.5,66.5
20160102190000,493.5,493.5,507.6,102.8571,24,51.0,60.2,69.5,66.5
20160102191500,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102193000,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102194500,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102200000,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102201500,493.5,493.5,514.65,104.2857,24,51.0,60.1,69.5,66.5
20160102203000,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102204500,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102210000,493.5,493.5,507.6,102.8571,24,51.0,60.1,69.5,66.5
20160102211500,493.5,493.5,514.65,104.2857,24,51.0,60.1,69.5,66.5
20160102213000,493.5,493.5,493.5,100.0,24,51.0,60.0,69.5,66.5
20160102214500,493.5,493.5,507.6,102.8571,24,51.0,60.0,69.5,66.5
20160102220000,493.5,493.5,507.6,102.8571,24,51.0,59.9,69.5,66.5
20160102221500,493.5,493.5,507.6,102.8571,24,51.0,59.9,69.5,66.5
20160102223000,493.5,493.5,495.85,100.4762,24,51.0,59.8,69.5,66.5
20160102224500,493.5,493.5,502.9,101.9048,24,51.0,59.7,69.5,66.5
20160102230000,493.5,493.5,509.95,103.3333,24,51.0,59.7,69.5,66.5
20160102231500,493.5,493.5,495.85,100.4762,24,51.0,59.7,69.5,66.5
20160102233000,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160102234500,493.5,493.5,514.65,104.2857,24,51.0,59.7,69.5,66.5
20160103000000,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160103001500,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160103003000,493.5,493.5,484.1,98.0952,24,51.0,59.7,69.5,66.5
20160103004500,493.5,493.5,514.65,104.2857,24,51.0,59.7,69.5,66.5
20160103010000,493.5,493.5,502.9,101.9048,24,51.0,59.7,69.5,66.5
20160103011500,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103013000,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160103014500,493.5,493.5,514.65,104.2857,24,51.0,59.7,69.5,66.5
20160103020000,493.5,493.5,514.65,104.2857,24,51.0,59.7,69.5,66.5
20160103021500,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160103023000,493.5,493.5,507.6,102.8571,24,51.0,59.7,69.5,66.5
20160103024500,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103030000,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103031500,493.5,493.5,509.95,103.3333,24,51.0,59.7,69.5,66.5
20160103033000,493.5,493.5,509.95,103.3333,24,51.0,59.7,69.5,66.5
20160103034500,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103040000,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103041500,493.5,493.5,519.35,105.2381,24,51.0,59.7,69.5,66.5
20160103043000,493.5,493.5,488.8,99.0476,24,51.0,59.7,69.5,66.5
20160103044500,493.5,493.5,502.9,101.9048,24,51.0,59.7,69.5,66.5
20160103050000,493.5,493.5,514.65,104.2857,24,51.0,59.7,69.5,66.5
