PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,307.2,98.4615,77,61.6,100,68.3,71.3,68.3
20160101001500,307.2,98.4615,77,61.6,100,68.3,71.3,68.3
20160101003000,307.2,98.4615,77,62.8,100,68.4,71.3,68.3
20160101004500,307.2,98.4615,77,60.8,100,68.4,71.3,68.3
20160101010000,307.2,98.4615,77,62.4,100,68.4,71.3,68.3
20160101011500,307.2,98.4615,77,62.4,100,68.4,71.3,68.3
20160101013000,307.2,98.4615,77,60.8,100,68.4,71.3,68.3
20160101014500,307.2,98.4615,77,62.4,100,68.5,71.3,68.3
20160101020000,307.2,98.4615,77,55.5,0,68.4,71.3,68.3
20160101021500,307.2,98.4615,77,55.5,0,68.4,71.3,68.3
20160101023000,307.2,98.4615,77,55.5,0,68.3,71.3,68.3
20160101024500,307.2,98.4615,77,55.5,0,68.3,71.3,68.3
20160101030000,307.2,98.4615,77,55.5,0,68.2,71.3,68.3
20160101031500,307.2,98.4615,77,55.5,0,68.2,71.3,68.3
20160101033000,307.2,98.4615,77,55.5,0,68.1,71.3,68.3
20160101034500,307.2,98.4615,77,55.5,0,68.0,71.3,68.3
20160101040000,307.2,98.4615,77,55.5,100,67.9,71.3,68.3
20160101041500,307.2,98.4615,77,55.5,100,67.9,71.3,68.3
20160101043000,307.2,98.4615,77,55.5,100,68.0,71.3,68.3
20160101044500,307.2,98.4615,77,55.5,100,68.0,71.3,68.3
20160101050000,307.2,98.4615,77,55.5,100,67.9,71.3,68.3
20160101051500,307.2,98.4615,77,55.5,100,67.9,71.3,68.3
20160101053000,307.2,98.4615,77,55.5,100,67.9,71.3,68.3
20160101054500,307.2,98.4615,77,57.9,100,67.9,71.3,68.3
20160101060000,307.2,98.4615,77,60.7,100,67.9,71.3,68.3
20160101061500,307.2,98.4615,77,64.4,100,68.0,71.3,68.3
20160101063000,307.2,98.4615,77,67.2,100,68.1,71.3,68.3
20160101064500,307.2,98.4615,77,67.2,100,68.2,71.3,68.3
20160101070000,307.2,98.4615,77,67.2,100,68.3,71.3,68.3
20160101071500,307.2,98.4615,77,67.2,100,68.4,71.3,68.3
20160101073000,307.2,98.4615,77,65.5,100,68.5,71.3,68.3
20160101074500,307.2,98.4615,77,55.6,0,68.5,71.3,68.3
20160101080000,307.2,98.4615,77,55.0,0,68.3,71.3,68.3
20160101081500,307.2,98.4615,77,55.0,0,68.3,71.3,68.3
20160101083000,307.2,98.4615,77,55.0,0,68.2,71.3,68.3
20160101084500,312.6,100.1923,77,55.0,0,68.1,71.3,68.3
20160101090000,312.6,100.1923,77,55.0,0,68.1,71.3,68.3
20160101091500,312.6,100.1923,77,55.0,0,68.1,71.3,68.3
20160101093000,307.2,98.4615,77,55.9,0,68.1,71.3,68.3
20160101094500,312.6,100.1923,77,54.3,0,68.1,71.3,68.3
20160101100000,307.2,98.4615,77,55.1,0,68.1,71.3,68.3
20160101101500,312.6,100.1923,77,54.4,0,68.1,71.3,68.3
20160101103000,312.6,100.1923,77,55.1,100,67.9,71.3,68.3
20160101104500,312.6,100.1923,77,55.1,100,67.7,71.3,68.3
20160101110000,312.6,100.1923,77,58.1,100,67.6,71.3,68.3
20160101111500,312.6,100.1923,77,68.1,100,67.9,71.3,68.3
20160101113000,304.8,97.6923,77,70.4,100,68.0,71.3,68.3
20160101114500,309.6,99.2308,77,70.4,100,68.2,71.3,68.3
20160101120000,309.6,99.2308,77,70.4,100,68.3,71.3,68.3
20160101121500,314.4,100.7692,77,65.8,100,68.4,71.3,68.3
20160101123000,314.4,100.7692,77,55.6,0,68.6,71.3,68.3
20160101124500,314.4,100.7692,77,54.7,0,68.4,71.3,68.3
20160101130000,314.4,100.7692,77,54.7,0,68.2,71.3,68.3
20160101131500,319.8,102.5,77,54.7,0,68.1,71.3,68.3
20160101133000,314.4,100.7692,77,54.7,0,68.1,71.3,68.3
20160101134500,314.4,100.7692,77,54.7,0,68.1,71.3,68.3
20160101140000,314.4,100.7692,77,54.7,100,68.0,71.3,68.3
20160101141500,314.4,100.7692,77,54.7,100,67.9,71.3,68.3
20160101143000,314.4,100.7692,77,54.7,100,68.0,71.3,68.3
20160101144500,314.4,100.7692,77,54.7,100,67.9,71.3,68.3
20160101150000,314.4,100.7692,77,54.7,100,67.8,71.3,68.3
20160101151500,314.4,100.7692,77,57.5,100,67.7,71.3,68.3
20160101153000,314.4,100.7692,77,67.7,100,67.9,71.3,68.3
20160101154500,314.4,100.7692,77,67.7,100,68.1,71.3,68.3
20160101160000,314.4,100.7692,77,67.7,100,68.2,71.3,68.3
20160101161500,314.4,100.7692,77,67.7,100,68.3,71.3,68.3
20160101163000,314.4,100.7692,77,66.3,100,68.5,71.3,68.3
20160101164500,314.4,100.7692,77,73.5,100,68.6,73.5,70.5
20160101170000,314.4,100.7692,77,72.5,100,68.7,73.5,70.5
20160101171500,309.6,99.2308,77,76.8,100,68.9,73.5,70.5
20160101173000,314.4,100.7692,77,74.1,100,69.1,73.5,70.5
