PropertyTimestampInNumber,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,114.8,120.13,53.2727,44,55.8,0,67.4,68.0,53.0
20160101001500,114.8,118.49,52.5455,44,55.8,0,67.4,68.0,53.0
20160101003000,114.8,118.49,52.5455,44,55.8,0,67.3,68.0,53.0
20160101004500,114.8,118.49,52.5455,44,54.7,0,67.4,68.0,53.0
20160101010000,114.8,120.13,53.2727,44,55.9,0,67.4,68.0,53.0
20160101011500,114.8,118.9,52.7273,44,55.9,0,67.4,68.0,53.0
20160101013000,114.8,117.26,52.0,44,55.9,0,67.4,68.0,53.0
20160101014500,114.8,120.13,53.2727,44,55.9,0,67.4,68.0,53.0
20160101020000,114.8,118.9,52.7273,44,55.9,0,67.4,68.0,53.0
20160101021500,114.8,120.13,53.2727,44,55.2,0,67.4,68.0,53.0
20160101023000,114.8,120.13,53.2727,44,55.2,0,67.4,68.0,53.0
20160101024500,114.8,118.9,52.7273,44,55.2,0,67.4,68.0,53.0
20160101030000,114.8,118.9,52.7273,44,55.2,0,67.4,68.0,53.0
20160101031500,114.8,118.9,52.7273,44,55.2,0,67.4,68.0,53.0
20160101033000,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
20160101034500,114.8,120.54,53.4545,44,55.2,0,67.4,68.0,53.0
20160101040000,114.8,120.54,53.4545,44,55.2,0,67.4,68.0,53.0
20160101041500,114.8,117.26,52.0,44,55.2,0,67.3,68.0,53.0
20160101043000,114.8,120.54,53.4545,44,55.2,0,67.4,68.0,53.0
20160101044500,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
20160101050000,114.8,120.54,53.4545,44,55.2,0,67.3,68.0,53.0
20160101051500,114.8,117.26,52.0,44,55.2,0,67.3,68.0,53.0
20160101053000,114.8,120.13,53.2727,44,55.2,0,67.3,68.0,53.0
20160101054500,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
20160101060000,114.8,120.54,53.4545,44,55.2,0,67.3,68.0,53.0
20160101061500,114.8,118.9,52.7273,44,55.2,0,67.2,68.0,53.0
20160101063000,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
20160101064500,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
20160101070000,114.8,118.9,52.7273,44,55.2,0,67.2,68.0,53.0
20160101071500,114.8,120.13,53.2727,44,55.2,0,67.3,68.0,53.0
20160101073000,114.8,120.13,53.2727,44,55.2,0,67.2,68.0,53.0
20160101074500,114.8,118.49,52.5455,44,55.2,0,67.4,68.0,53.0
20160101080000,114.8,120.13,53.2727,44,55.2,0,67.2,68.0,53.0
20160101081500,114.8,120.13,53.2727,44,55.2,0,67.4,68.0,53.0
20160101083000,114.8,120.13,53.2727,44,55.2,0,67.3,68.0,53.0
20160101084500,114.8,118.49,52.5455,44,55.2,0,67.3,68.0,53.0
20160101090000,114.8,121.77,54.0,44,55.2,0,67.2,68.0,53.0
20160101091500,114.8,121.77,54.0,44,55.2,0,67.2,68.0,53.0
20160101093000,114.8,120.54,53.4545,44,55.2,0,67.2,68.0,53.0
20160101094500,114.8,118.9,52.7273,44,54.6,0,67.3,68.0,53.0
20160101100000,114.8,118.9,52.7273,44,54.6,0,67.3,68.0,53.0
20160101101500,114.8,118.9,52.7273,44,54.6,0,67.3,68.0,53.0
20160101103000,114.8,115.62,51.2727,44,54.6,0,67.3,68.0,53.0
20160101104500,114.8,118.9,52.7273,44,54.6,0,67.3,68.0,53.0
20160101110000,114.8,116.85,51.8182,44,55.2,0,67.3,68.0,53.0
20160101111500,114.8,118.9,52.7273,44,55.2,0,67.3,68.0,53.0
