PropertyTimestampInNumber,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
20160101000000,102.5,106.19,51.8,42,101.7,100,67.6
20160101001500,102.5,104.14,50.8,42,96.3,100,68.3
20160101003000,102.5,104.14,50.8,42,105.1,100,68.3
20160101004500,102.5,104.14,50.8,42,96.6,100,68.0
20160101010000,102.5,106.19,51.8,42,91.2,100,68.1
20160101011500,102.5,106.19,51.8,42,95.6,100,67.2
20160101013000,102.5,106.19,51.8,42,100.9,100,67.6
20160101014500,102.5,100.86,49.2,42,93.0,100,67.6
20160101020000,102.5,103.32,50.4,42,96.1,100,66.0
20160101021500,102.5,103.32,50.4,42,106.0,100,66.6
20160101023000,102.5,103.32,50.4,42,103.2,100,66.8
20160101024500,102.5,103.32,50.4,42,91.1,100,66.7
20160101030000,102.5,103.32,50.4,42,104.2,100,65.5
20160101031500,102.5,103.32,50.4,42,93.7,100,65.6
20160101033000,102.5,103.32,50.4,42,106.0,100,65.7
20160101034500,102.5,103.32,50.4,42,94.5,100,65.8
20160101040000,102.5,103.32,50.4,42,99.5,100,65.7
20160101041500,102.5,103.32,50.4,42,94.9,100,65.8
20160101043000,102.5,103.32,50.4,42,103.5,100,64.4
20160101044500,102.5,103.32,50.4,42,105.1,100,65.4
20160101050000,102.5,103.32,50.4,42,105.1,100,65.6
20160101051500,102.5,106.19,51.8,42,93.6,100,65.6
20160101053000,102.5,104.96,51.2,42,100.8,100,65.4
20160101054500,102.5,106.6,52.0,42,104.1,100,63.5
20160101060000,102.5,104.14,50.8,42,90.5,100,64.7
20160101061500,102.5,106.19,51.8,42,94.6,100,64.0
20160101063000,102.5,106.19,51.8,42,104.3,100,63.6
20160101064500,102.5,102.5,50.0,42,104.3,100,66.1
20160101070000,102.5,104.14,50.8,42,104.3,100,64.7
20160101071500,102.5,104.14,50.8,42,100.4,100,64.3
20160101073000,102.5,104.14,50.8,42,94.8,100,63.9
20160101074500,102.5,106.19,51.8,42,92.4,100,63.9
20160101080000,102.5,107.42,52.4,42,93.4,100,64.6
20160101081500,102.5,103.32,50.4,42,93.4,100,64.6
20160101083000,102.5,106.19,51.8,42,99.3,100,64.8
20160101084500,102.5,104.14,50.8,42,102.7,100,64.6
20160101090000,102.5,104.14,50.8,42,102.7,100,63.2
20160101091500,102.5,106.19,51.8,42,102.7,100,64.7
20160101093000,102.5,104.96,51.2,42,102.7,100,64.8
20160101094500,102.5,109.06,53.2,42,100.4,100,63.6
20160101100000,102.5,104.14,50.8,42,97.3,100,64.8
20160101101500,102.5,104.14,50.8,42,102.1,100,64.6
20160101103000,102.5,106.19,51.8,42,94.9,100,64.3
20160101104500,102.5,104.96,51.2,42,94.9,100,64.2
20160101110000,102.5,106.19,51.8,42,91.7,100,61.5
20160101111500,102.5,104.14,50.8,42,97.0,100,63.6
20160101113000,102.5,108.24,52.8,42,101.0,100,64.4
20160101114500,102.5,106.19,51.8,42,102.7,100,65.0
20160101120000,102.5,104.14,50.8,42,102.7,100,64.6
20160101121500,102.5,95.12,46.4,41,92.0,100,64.0
20160101123000,102.5,102.5,50.0,42,94.6,100,64.6
20160101124500,102.5,101.27,49.4,42,98.0,100,64.8
20160101130000,102.5,100.04,48.8,42,106.0,100,64.0
20160101131500,102.5,98.81,48.2,42,101.0,100,64.1
20160101133000,102.5,100.04,48.8,42,94.7,100,64.4
20160101134500,102.5,100.04,48.8,42,104.3,100,65.0
20160101140000,102.5,97.17,47.4,42,104.3,100,64.3
20160101141500,102.5,98.81,48.2,42,104.3,100,64.8
20160101143000,102.5,100.04,48.8,42,104.3,100,65.1
20160101144500,102.5,100.04,48.8,42,102.7,100,63.8
20160101150000,102.5,98.4,48.0,42,102.7,100,65.1
20160101151500,102.5,98.4,48.0,42,105.1,100,65.0
20160101153000,102.5,100.86,49.2,42,105.1,100,65.5
20160101154500,102.5,100.86,49.2,42,105.1,100,65.6
20160101160000,102.5,98.4,48.0,42,105.1,100,65.6
20160101161500,102.5,100.86,49.2,42,101.2,100,65.4
20160101163000,102.5,98.4,48.0,42,97.3,100,64.3
20160101164500,102.5,98.4,48.0,42,99.1,100,64.9
20160101170000,102.5,97.17,47.4,42,94.4,100,64.3
20160101171500,102.5,97.17,47.4,42,102.0,100,64.0
20160101173000,102.5,97.17,47.4,42,98.0,100,64.4
20160101174500,102.5,102.5,50.0,42,95.5,100,63.5
20160101180000,102.5,100.04,48.8,42,94.2,100,63.8
20160101181500,102.5,98.81,48.2,42,98.4,100,63.2
20160101183000,102.5,98.81,48.2,42,94.9,100,64.3
20160101184500,102.5,98.81,48.2,42,93.8,100,63.5
20160101190000,102.5,100.86,49.2,42,92.4,100,62.8
20160101191500,102.5,100.86,49.2,42,92.4,100,62.6
20160101193000,102.5,100.86,49.2,42,99.7,100,61.8
20160101194500,102.5,100.86,49.2,42,97.3,100,63.0
20160101200000,102.5,100.86,49.2,42,101.4,100,63.5
20160101201500,102.5,100.86,49.2,42,97.6,100,62.4
20160101203000,102.5,98.81,48.2,42,97.6,100,62.4
20160101204500,102.5,101.27,49.4,42,94.5,100,62.7
20160101210000,102.5,98.81,48.2,42,104.3,100,62.5
20160101211500,102.5,98.81,48.2,42,104.3,100,63.1
20160101213000,102.5,101.27,49.4,42,104.3,100,62.5
20160101214500,102.5,101.27,49.4,42,102.7,100,63.0
20160101220000,102.5,101.27,49.4,42,102.7,100,63.3
20160101221500,102.5,100.04,48.8,42,102.7,100,63.8
20160101223000,102.5,98.4,48.0,42,102.7,100,63.9
20160101224500,102.5,98.4,48.0,42,102.7,100,62.8
20160101230000,102.5,102.5,50.0,42,102.7,100,63.2
20160101231500,102.5,100.86,49.2,42,102.7,100,63.8
20160101233000,102.5,98.81,48.2,42,102.7,100,62.8
20160101234500,102.5,100.86,49.2,42,102.7,100,63.7
20160102000000,102.5,100.86,49.2,42,102.7,100,63.4
20160102001500,102.5,100.86,49.2,42,102.7,100,64.1
20160102003000,102.5,100.86,49.2,42,102.7,100,62.3
20160102004500,102.5,100.86,49.2,42,102.7,100,63.0
20160102010000,102.5,98.4,48.0,42,104.3,100,63.5
20160102011500,102.5,98.4,48.0,43,105.4,100,61.5
20160102013000,102.5,98.4,48.0,43,97.2,100,62.1
20160102014500,102.5,98.4,48.0,43,105.1,100,61.9
20160102020000,102.5,98.4,48.0,43,105.1,100,62.6
20160102021500,102.5,100.86,49.2,43,105.1,100,62.2
20160102023000,102.5,100.86,49.2,43,106.2,100,62.3
20160102024500,102.5,100.86,49.2,43,106.2,100,63.2
20160102030000,102.5,102.5,50.0,43,106.2,100,61.7
20160102031500,102.5,102.5,50.0,43,106.2,100,61.2
20160102033000,102.5,98.81,48.2,43,105.1,100,61.9
20160102034500,102.5,100.86,49.2,43,105.1,100,62.5
20160102040000,102.5,98.4,48.0,44,107.0,100,62.3
20160102041500,102.5,106.19,51.8,44,107.0,100,62.1
20160102043000,102.5,106.19,51.8,42,104.5,100,63.1
20160102044500,102.5,106.19,51.8,42,104.5,100,62.3
20160102050000,102.5,106.19,51.8,42,104.5,100,63.0
20160102051500,102.5,102.5,50.0,42,99.8,100,63.2
20160102053000,102.5,106.19,51.8,42,102.1,100,62.7
20160102054500,102.5,104.96,51.2,42,105.1,100,62.8
20160102060000,102.5,106.19,51.8,42,105.1,100,62.9
20160102061500,102.5,106.19,51.8,42,105.1,100,61.5
20160102063000,102.5,103.32,50.4,41,101.1,100,61.7
20160102064500,102.5,103.32,50.4,41,96.8,100,62.4
20160102070000,102.5,101.27,49.4,41,96.8,100,62.9
20160102071500,102.5,102.5,50.0,41,93.6,100,62.7
20160102073000,102.5,100.86,49.2,41,105.1,100,62.8
20160102074500,102.5,103.32,50.4,41,103.2,100,62.3
20160102080000,102.5,103.32,50.4,41,101.9,100,63.1
20160102081500,102.5,106.19,51.8,41,101.9,100,63.3
20160102083000,102.5,104.14,50.8,41,101.9,100,63.5
20160102084500,102.5,102.5,50.0,41,101.9,100,63.2
20160102090000,102.5,100.86,49.2,41,101.9,100,63.7
20160102091500,102.5,102.5,50.0,41,95.2,100,63.9
20160102093000,102.5,98.81,48.2,41,93.7,100,63.8
20160102094500,102.5,101.27,49.4,41,93.7,100,64.1
20160102100000,102.5,102.5,50.0,41,94.7,100,64.2
20160102101500,102.5,104.96,51.2,41,91.7,100,64.2
20160102103000,102.5,103.32,50.4,41,91.7,100,63.1
20160102104500,102.5,103.32,50.4,41,93.0,100,63.8
20160102110000,102.5,100.86,49.2,41,100.2,100,62.8
20160102111500,102.5,102.5,50.0,41,101.9,100,63.5
20160102113000,102.5,102.5,50.0,41,101.9,100,62.8
20160102114500,102.5,102.5,50.0,41,101.9,100,64.1
20160102120000,102.5,100.86,49.2,41,101.9,100,63.3
20160102121500,102.5,102.5,50.0,41,104.3,100,63.7
20160102123000,102.5,100.04,48.8,41,100.4,100,64.4
20160102124500,102.5,104.96,51.2,41,102.7,100,64.2
20160102130000,102.5,102.5,50.0,41,102.7,100,64.1
20160102131500,102.5,104.14,50.8,41,104.2,100,65.3
20160102133000,102.5,101.27,49.4,41,96.0,100,64.2
20160102134500,102.5,102.5,50.0,41,93.2,100,64.6
20160102140000,102.5,100.86,49.2,41,93.2,100,63.7
20160102141500,102.5,100.86,49.2,41,93.2,100,64.2
20160102143000,102.5,102.5,50.0,41,100.1,100,64.1
20160102144500,102.5,100.04,48.8,41,105.1,100,62.0
20160102150000,102.5,102.5,50.0,41,97.2,100,61.8
20160102151500,102.5,102.5,50.0,41,95.8,100,63.5
20160102153000,102.5,101.27,49.4,41,104.2,100,64.0
20160102154500,102.5,102.5,50.0,41,104.2,100,63.9
20160102160000,102.5,100.04,48.8,41,97.3,100,63.8
20160102161500,102.5,104.14,50.8,41,94.2,100,64.1
