MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
69.7678,19.4712,1.4532,59.6418,56.94
69.7678,19.4422,1.4452,59.6418,56.94
69.7678,19.4422,1.4452,59.6418,56.94
69.7678,19.7482,1.4613,59.6418,56.94
69.7678,18.9704,1.4653,59.6418,56.94
69.7678,18.2999,1.4653,60.3078,56.94
69.7678,17.8115,1.4572,60.3078,56.94
69.7678,17.9294,1.4613,60.3078,56.94
69.7678,17.709,1.4572,60.3078,56.94
69.7678,17.4152,1.4613,60.3078,56.94
68.8497,19.9924,1.4653,60.3078,56.94
68.8497,19.5345,1.4653,60.3078,56.94
68.8497,19.2808,1.4653,60.3078,56.94
68.8497,19.0929,1.4613,60.3078,56.94
68.8497,19.0541,1.4653,60.3078,56.94
68.8497,18.9279,1.4693,60.3078,56.94
68.8497,18.4409,1.4653,60.3078,56.94
68.8497,18.5218,1.4813,60.3078,56.94
68.8497,18.5218,1.4853,60.3078,56.94
68.8497,18.5218,1.4773,60.3078,55.925
68.8497,18.5218,1.4733,60.3078,55.925
68.8497,18.3137,1.4572,60.3078,55.925
68.8497,18.3137,1.4733,60.3078,55.925
68.8497,18.1229,1.4733,60.3078,55.925
68.8497,18.2014,1.4813,60.3078,55.925
68.8497,18.0732,1.4813,60.3078,55.925
68.8497,18.1229,1.4733,60.3078,55.925
68.8497,18.1229,1.4733,60.3078,55.925
68.8497,18.1075,1.4733,60.3078,55.925
68.8497,18.1075,1.4773,60.3078,55.925
68.8497,18.1538,1.4813,60.3078,55.925
68.8497,17.9659,1.5014,60.3078,55.32
68.8497,18.0444,1.4171,60.3078,55.32
68.8497,17.8875,1.4894,60.3078,55.32
68.8497,17.8407,1.4693,60.3078,55.32
68.8497,17.8875,1.4492,60.3078,55.32
68.8497,17.4393,1.4372,60.3078,55.32
68.8497,17.3905,1.4211,60.3078,55.32
68.8497,17.3905,1.401,60.3078,55.32
68.8497,17.4393,1.4211,60.3078,55.32
69.9478,17.1803,1.3087,60.3078,55.32
69.9478,17.316,1.4332,58.4897,55.32
69.9478,17.2415,1.3649,57.8056,55.32
69.9478,17.2544,1.3288,58.8137,55.32
69.9478,17.316,1.3489,58.1656,55.32
69.9478,17.5625,1.393,58.1656,56.385
69.9478,17.4533,1.389,58.1656,56.385
69.9478,17.333,1.4091,58.1656,56.385
70.6859,17.4095,1.4653,57.3375,56.385
70.6859,17.4095,1.3127,58.6157,54.04
70.6859,17.4533,1.3328,58.6157,54.04
70.6859,17.2983,1.3368,58.6157,54.04
70.6859,17.5548,1.3529,58.6157,54.04
70.6859,17.5941,1.3167,58.6157,54.04
70.6859,17.8662,1.3328,58.6157,55.585
69.5878,17.9248,1.3489,58.6157,55.585
69.5878,17.9491,1.3489,58.6157,55.585
69.5878,17.9127,1.3529,58.6157,55.585
69.5878,17.9491,1.3529,58.0036,55.585
69.5878,18.0916,1.3529,58.0036,55.585
69.5878,18.0916,1.3529,58.0036,55.585
69.5878,18.0916,1.3569,58.0036,55.585
69.5878,17.9491,1.3248,58.0036,55.585
69.5878,18.0082,1.3448,58.6157,55.585
69.5878,17.9248,1.3448,58.6157,55.585
69.5878,18.0082,1.3368,57.8596,55.585
69.5878,18.1149,1.3649,57.8596,55.585
68.8497,17.9127,1.3649,57.8596,55.585
68.8497,17.9553,1.3569,57.8596,55.585
68.8497,18.1585,1.3569,57.8596,55.585
68.8497,18.2404,1.4171,57.8596,56.785
68.8497,18.2404,1.3368,57.8596,56.785
68.8497,18.0738,1.3609,58.6517,56.785
68.8497,17.9496,1.3448,58.6517,56.785
68.8497,17.9659,1.3489,57.6616,56.785
68.8497,17.7632,1.3368,58.2556,56.785
68.8497,17.4651,1.3328,58.2556,56.785
68.8497,17.4651,1.3609,58.2556,56.785
68.8497,17.152,1.3288,58.2556,56.785
68.8497,17.2772,1.393,58.2556,56.785
68.1296,17.2042,1.3127,57.5356,56.785
68.1296,17.2042,1.4452,57.5356,56.785
68.1296,17.2042,1.4693,57.5356,56.785
68.1296,17.2544,1.4813,57.5356,56.785
68.1296,16.985,1.4934,57.5356,56.785
68.1296,16.985,1.4813,58.1296,56.785
68.1296,16.912,1.4733,58.1296,56.785
68.1296,17.0323,1.4532,58.1296,56.785
68.1296,16.9434,1.4572,58.1296,56.785
68.1296,17.0617,1.4733,58.1296,56.785
68.1296,16.8842,1.4653,58.1296,56.785
68.1296,16.8842,1.4532,58.1296,56.785
68.1296,16.8102,1.4492,58.1296,56.785
68.1296,16.8102,1.4613,58.1296,56.785
68.1296,16.6621,1.4613,58.1296,56.785
68.1296,16.7198,1.4653,57.3375,56.785
68.1296,16.9505,1.4733,57.9676,56.785
68.1296,16.8351,1.4813,57.2655,56.785
68.1296,16.9505,1.4894,57.2655,56.785
68.1296,16.874,1.4894,57.2655,56.785
68.1296,16.8351,1.4894,57.2655,56.785
68.1296,16.7198,1.3007,57.2655,53.095
68.1296,16.8351,1.3649,58.0936,53.095
68.1296,16.7596,1.3689,58.0936,53.095
68.1296,16.4962,1.3408,58.0936,53.095
68.1296,16.4962,1.3368,57.4995,53.095
68.1296,16.4962,1.3208,58.4176,53.095
68.1296,16.366,1.3248,58.4176,53.095
68.1296,16.44,1.389,57.6976,54.74
68.1296,16.4217,1.4211,56.9055,54.74
68.1296,16.366,1.4171,57.8596,54.74
68.1296,16.44,1.4211,57.8596,54.74
68.1296,16.44,1.4211,57.8596,54.74
68.1296,16.3276,1.4211,57.8596,54.74
68.1296,16.0711,1.4251,57.8596,54.74
68.1296,15.8646,1.3489,57.8596,54.74
68.1296,15.9904,1.4291,57.8596,54.74
68.1296,15.9904,1.4171,57.8596,54.74
68.1296,16.1028,1.4211,57.8596,54.74
68.1296,15.9904,1.4291,57.8596,54.74
68.1296,15.8218,1.4412,57.8596,54.74
68.1296,16.0038,1.4171,57.8596,54.74
68.1296,15.9342,1.4291,57.8596,54.74
68.1296,15.9342,1.4091,57.8596,54.74
68.1296,16.0038,1.3368,58.6517,55.37
68.1296,16.0038,1.4251,58.6517,55.37
68.1296,15.8904,1.4131,58.6517,55.37
68.1296,15.8904,1.4251,58.6517,55.37
68.1296,15.8904,1.4813,58.6517,55.37
68.1296,15.9342,1.4211,58.6517,55.37
68.9577,15.8218,1.4131,58.6517,55.37
68.9577,15.6417,1.377,58.6517,55.37
68.9577,15.7532,1.377,58.6517,55.37
68.9577,15.8646,1.3649,57.9676,55.37
68.9577,16.0317,1.3689,58.6877,55.37
68.9577,16.1431,1.377,58.6877,55.37
69.6778,16.2919,1.3609,58.6877,55.37
69.6778,16.1439,1.3489,58.6877,55.37
69.6778,16.2726,1.3328,58.6877,55.37
69.6778,16.3821,1.4572,58.6877,58.24
69.6778,16.6009,1.4813,58.6877,58.24
69.6778,16.7946,1.4853,58.6877,57.29
69.6778,16.7946,1.4653,58.6877,57.29
69.6778,16.7147,1.4853,58.6877,57.29
70.6859,16.8477,1.4613,60.0018,57.29
70.6859,16.9542,1.4813,60.0018,57.29
70.6859,17.0295,1.4693,60.0018,57.29
70.6859,17.135,1.4853,60.0018,57.29
70.6859,17.135,1.4853,60.0018,57.29
70.6859,17.2405,1.4813,60.0018,57.29
70.6859,17.3988,1.4773,60.0018,57.29
70.6859,17.3109,1.4733,60.0018,57.29
70.6859,17.4155,1.4291,60.0018,57.29
70.6859,17.52,1.377,60.0018,57.29
70.6859,17.729,1.385,60.0018,57.29
70.6859,17.7813,1.381,60.8299,57.29
70.6859,17.689,1.389,60.8299,57.29
70.6859,17.6992,1.4291,60.8299,57.29
70.6859,17.8735,1.401,60.8299,57.29
69.8578,18.0581,1.4492,60.8299,57.29
69.8578,18.4615,1.4452,60.8299,57.29
69.8578,18.4272,1.4211,60.8299,57.29
69.8578,18.2195,1.4291,60.8299,57.29
69.8578,18.0741,1.4492,60.8299,57.29
69.8578,18.1149,1.4372,60.8299,57.29
69.1377,18.0765,1.4372,60.8299,57.29
69.1377,18.1171,1.397,60.8299,57.29
69.1377,18.0738,1.3609,60.8299,57.29
69.1377,17.9496,1.3729,60.8299,57.29
69.1377,17.9496,1.3689,60.8299,57.29
69.1377,18.3223,1.385,60.8299,57.29
69.1377,18.3223,1.401,60.8299,57.29
69.1377,18.2807,1.4051,60.8299,57.29
69.1377,18.2807,1.3689,61.658,57.29
69.1377,18.2807,1.4251,61.658,57.29
69.1377,18.3418,1.4332,60.9919,57.29
69.1377,18.2953,1.4532,60.9919,57.29
69.1377,18.4156,1.4613,60.9919,57.29
69.1377,18.2953,1.4733,60.9919,57.29
69.1377,18.2109,1.4813,60.9919,57.29
69.1377,18.1266,1.4853,60.9919,57.29
69.1377,18.1266,1.4773,59.5518,57.29
69.1377,18.1595,1.4532,60.5419,57.29
69.1377,18.1595,1.4693,60.5419,57.29
69.1377,17.9248,1.4613,60.5419,57.29
69.1377,18.0082,1.4613,60.5419,56.275
69.1377,18.0916,1.4613,60.5419,56.275
69.1377,17.9248,1.4693,60.5419,56.275
69.1377,18.2195,1.4693,60.5419,56.275
69.1377,18.1321,1.4653,60.5419,56.275
69.1377,18.1893,1.4693,60.5419,56.275
69.1377,18.1893,1.4693,60.5419,56.275
68.3096,18.2195,1.4532,60.5419,56.275
