MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
66.9415,19.4712,32.4339,1.5777,55.0243,61.68
66.9415,19.4422,32.4339,1.5656,54.2862,61.68
66.9415,19.4422,32.4339,1.5054,54.2862,61.68
66.2034,19.7482,32.0982,1.5255,54.2862,64.155
64.5653,18.9704,32.0982,1.5576,54.8623,62.91
64.5653,18.2999,32.0982,1.5737,56.4464,62.91
64.5653,17.8115,32.0982,1.5656,56.4464,62.91
64.5653,17.9294,32.0982,1.5777,54.5023,62.91
64.5653,17.709,32.0982,1.5656,56.4464,62.91
64.5653,17.4152,32.4645,1.5857,56.4464,62.91
64.5653,19.9924,32.4645,1.4934,56.4464,64.15
64.5653,19.5345,32.4645,1.5697,56.4464,63.035
63.9172,19.2808,32.4645,1.5817,56.4464,63.035
63.9172,19.0929,32.4645,1.5897,56.4464,61.95
64.5653,19.0541,32.4645,1.5937,56.4464,61.95
64.5653,18.9279,32.4645,1.5656,55.5644,61.95
64.5653,18.4409,32.4645,1.5576,56.1764,61.95
64.5653,18.5218,32.4645,1.5496,56.1764,61.95
64.5653,18.5218,32.4645,1.5576,55.4023,61.95
64.5653,18.5218,32.4645,1.5496,56.2844,61.95
64.5653,18.5218,32.4645,1.5536,56.2844,61.95
64.5653,18.3137,32.4645,1.5496,56.2844,61.95
64.5653,18.3137,32.4645,1.5576,56.2844,61.95
64.5653,18.1229,32.4645,1.5415,56.2844,61.95
64.5653,18.2014,32.0982,1.5496,55.6364,61.95
64.5653,18.0732,32.0982,1.5456,56.2484,61.95
64.5653,18.1229,32.0982,1.5536,56.2484,61.95
64.5653,18.1229,32.0982,1.5536,56.2484,61.95
64.5653,18.1075,32.0982,1.4211,56.2484,63.49
64.5653,18.1075,32.0982,1.4372,56.2484,63.49
64.5653,18.1538,32.0982,1.5175,56.2484,63.49
63.9172,17.9659,32.0982,1.5817,55.0603,61.73
63.9172,18.0444,31.671,1.5496,55.6904,61.73
63.9172,17.8875,31.671,1.5536,55.6904,61.73
63.9172,17.8407,31.671,1.5456,55.6904,61.73
63.9172,17.8875,31.1217,1.5415,55.6904,61.73
63.9172,17.4393,31.1217,1.5456,55.6904,61.73
64.8353,17.3905,31.1217,1.5415,55.6904,61.73
64.8353,17.3905,30.6334,1.5496,56.6625,61.73
64.8353,17.4393,30.6334,1.5536,55.6904,61.73
64.8353,17.1803,30.1146,1.5576,56.4464,61.73
64.8353,17.316,30.1146,1.5536,55.7264,61.73
64.8353,17.2415,29.7179,1.5456,56.4464,61.73
64.8353,17.2544,29.7179,1.5576,56.4464,61.73
64.8353,17.316,29.7179,1.5536,56.4464,61.73
64.8353,17.5625,29.7179,1.5496,56.4464,61.73
64.8353,17.4533,29.4127,1.5456,56.4464,61.73
64.8353,17.333,29.4127,1.5576,55.1503,61.73
64.8353,17.4095,29.4127,1.5536,55.8524,61.73
64.8353,17.4095,29.4127,1.4372,53.5122,59.29
64.8353,17.4533,29.016,1.4412,55.8524,59.29
64.8353,17.2983,29.016,1.4332,55.8524,59.29
64.8353,17.5548,29.016,1.4332,55.8524,59.29
64.8353,17.5941,29.016,1.4291,56.4464,59.29
64.8353,17.8662,29.016,1.4291,56.4464,59.29
64.8353,17.9248,29.016,1.4211,55.6364,59.29
64.8353,17.9491,28.5887,1.4211,56.2844,59.29
64.8353,17.9127,28.5887,1.4332,56.2844,59.29
64.8353,17.9491,28.5887,1.4372,55.5104,59.29
64.8353,18.0916,28.5887,1.4372,55.5104,59.29
64.8353,18.0916,28.5887,1.4452,56.1224,59.29
64.8353,18.0916,28.5887,1.4452,56.1224,59.29
64.8353,17.9491,28.5887,1.4452,56.1224,59.29
64.8353,18.0082,28.5887,1.4372,56.1224,59.29
64.8353,17.9248,28.5887,1.4452,55.1503,59.29
64.8353,18.0082,28.5887,1.4372,55.9604,59.29
64.1152,18.1149,28.5887,1.4412,55.9604,59.29
64.1152,17.9127,28.5887,1.4492,55.2763,59.29
64.1152,17.9553,28.5887,1.4412,55.2763,59.29
64.1152,18.1585,28.5887,1.4532,55.2763,59.29
64.1152,18.2404,28.5887,1.4492,55.2763,59.29
64.1152,18.2404,28.5887,1.4492,55.2763,59.29
64.1152,18.0738,28.5887,1.4492,55.2763,59.29
64.1152,17.9496,28.5887,1.4492,55.2763,59.29
64.1152,17.9659,28.9244,1.4452,55.2763,59.29
64.1152,17.7632,28.9244,1.4372,55.2763,59.29
64.1152,17.4651,28.9244,1.4492,55.2763,59.29
64.1152,17.4651,28.9244,1.4452,55.2763,59.29
64.1152,17.152,28.9244,1.4452,55.2763,59.29
64.1152,17.2772,28.9244,1.4492,55.2763,59.29
64.1152,17.2042,28.9244,1.4492,55.2763,59.29
64.1152,17.2042,28.9244,1.4452,55.2763,59.29
64.1152,17.2042,28.9244,1.4452,55.2763,59.29
64.1152,17.2544,28.9244,1.4171,55.2763,59.29
64.1152,16.985,28.9244,1.4291,55.2763,60.96
64.1152,16.985,28.9244,1.4131,56.2124,62.205
64.1152,16.912,28.9244,1.4211,56.2124,62.205
64.1152,17.0323,28.5582,1.4171,56.2124,62.205
64.1152,16.9434,28.5582,1.5415,56.2124,62.205
64.1152,17.0617,28.5582,1.5857,56.2124,62.205
64.1152,16.8842,28.192,1.5817,56.2124,62.205
64.1152,16.8842,28.192,1.5857,55.6364,62.205
64.1152,16.8102,28.192,1.5656,55.6364,61.12
64.1152,16.8102,27.8563,1.5576,55.6364,61.12
64.1152,16.6621,27.8563,1.5576,55.6364,61.12
63.4671,16.7198,27.8563,1.5697,54.8263,61.12
63.4671,16.9505,27.8563,1.5616,55.6364,61.12
63.4671,16.8351,27.4596,1.5817,55.0243,61.12
63.4671,16.9505,27.4596,1.5777,55.7984,61.12
63.4671,16.874,27.1544,1.5737,55.1503,61.12
63.4671,16.8351,27.1544,1.5777,55.1503,61.12
63.4671,16.7198,27.1544,1.4733,55.1503,60.265
63.4671,16.8351,27.1544,1.4251,54.5023,57.8
63.4671,16.7596,27.1544,1.4171,54.5023,57.8
63.4671,16.4962,26.7882,1.4251,53.9262,57.8
63.4671,16.4962,26.7882,1.4251,54.8623,57.8
63.4671,16.4962,26.7882,1.4492,54.8623,58.595
63.4671,16.366,26.483,1.4532,54.8623,58.595
63.4671,16.44,26.483,1.4532,54.8623,58.595
