OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
19.4712,43.8475,68.1656,1.7784,52.9001,56.0,81.79
19.4422,43.8475,68.1656,1.7864,52.9001,56.0,81.79
19.4422,43.8475,68.1656,1.7784,53.5482,56.0,81.79
19.7482,43.8475,68.1656,1.7904,52.5581,56.0,81.79
18.9704,43.8475,68.1656,1.7904,52.5581,56.0,81.79
18.2999,43.8475,68.1656,1.7824,52.5581,56.0,81.79
17.8115,43.8475,68.1656,1.7704,51.478,56.0,80.795
17.9294,43.8475,68.1656,1.7664,52.396,56.0,80.795
17.709,43.8475,68.1656,1.7704,52.396,56.0,80.795
17.4152,43.8475,68.1656,1.7704,52.396,56.0,80.795
19.9924,43.8475,68.1656,1.7744,51.694,56.0,80.795
19.5345,43.8475,68.1656,1.7543,52.5221,56.0,80.795
19.2808,43.8475,68.1656,1.7744,51.892,56.0,80.795
19.0929,43.8475,68.1656,1.7704,51.892,56.0,80.795
19.0541,43.8475,68.1656,1.7744,51.892,56.0,80.795
18.9279,43.8475,68.1656,1.7664,51.892,56.0,80.795
18.4409,43.8475,68.1656,1.7744,51.892,56.0,80.795
18.5218,43.8475,68.1656,1.7704,52.5221,56.0,80.795
18.5218,43.3897,68.1656,1.7744,51.532,56.0,80.795
18.5218,43.3897,68.1656,1.7664,52.234,56.0,80.795
18.5218,43.3897,68.1656,1.7704,52.234,56.0,80.795
18.3137,43.3897,68.1656,1.7704,52.234,56.0,80.795
18.3137,43.3897,68.1656,1.7784,52.234,56.0,80.795
18.1229,43.3897,68.1656,1.7664,52.234,56.0,80.795
18.2014,43.3897,68.1656,1.7744,51.4059,56.0,80.795
18.0732,43.3897,68.1656,1.7744,52.396,56.0,80.795
18.1229,43.3897,68.1656,1.7704,52.396,56.0,80.795
18.1229,43.3897,68.1656,1.7744,51.3519,56.0,80.795
18.1075,43.3897,68.1656,1.7704,52.072,56.0,80.795
18.1075,43.3897,68.1656,1.7744,52.072,56.0,80.795
18.1538,42.932,68.1656,1.7864,52.072,56.0,80.795
17.9659,42.932,68.1656,1.7864,52.072,56.0,80.795
18.0444,42.932,68.1656,1.7704,52.072,56.0,80.795
17.8875,42.932,68.1656,1.7784,52.072,56.0,80.795
17.8407,42.932,68.1656,1.7744,52.072,56.0,80.795
17.8875,42.932,68.1656,1.7784,51.2259,56.0,80.795
17.4393,42.932,68.1656,1.7704,51.946,56.0,80.795
17.3905,42.932,68.1656,1.7784,51.3159,56.0,80.795
17.3905,42.932,68.1656,1.7744,52.8461,56.0,80.795
17.4393,42.3216,68.1656,1.7784,51.4059,56.0,80.795
17.1803,42.3216,68.1656,1.7704,52.9001,56.0,80.795
17.316,42.3216,68.1656,1.7744,51.3519,56.0,80.795
17.2415,42.3216,68.1656,1.7744,52.6481,56.0,80.795
17.2544,41.8944,68.1656,1.7744,52.6481,56.0,80.795
17.316,41.8944,68.1656,1.7784,52.6481,56.0,80.795
17.5625,41.8944,68.1656,1.7664,52.6481,56.0,80.795
17.4533,41.8944,68.1656,1.7744,52.6481,56.0,80.795
17.333,41.8944,68.1656,1.7744,51.478,56.0,80.795
17.4095,41.4671,68.1656,1.7704,52.6841,56.0,80.795
