MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
61.919,19.4712,32.5255,72.9361,1.2766,56.1224,68.42
61.919,19.4422,32.8612,72.9361,1.2846,54.5743,68.42
61.919,19.4422,34.7533,73.6922,1.2846,56.8965,67.29
61.919,19.7482,37.6524,73.6922,1.2766,58.9667,67.29
61.1989,18.9704,38.4459,73.6922,1.2806,55.3123,67.29
61.1989,18.2999,34.265,74.8443,1.2886,55.3123,67.29
61.1989,17.8115,37.8355,74.8443,1.2726,59.7228,67.29
60.3708,17.9294,31.7626,74.8443,1.2846,56.9505,67.29
60.3708,17.709,34.7838,73.3321,1.2927,55.0243,67.29
60.3708,17.4152,36.1266,73.3321,1.2726,59.5608,67.29
60.3708,19.9924,38.568,73.3321,1.2806,56.9505,67.29
60.3708,19.5345,33.9903,74.1242,1.2846,54.9523,67.29
60.3708,19.2808,39.6666,74.1242,1.2766,59.5608,67.29
60.3708,19.0929,40.4295,74.1242,1.2806,56.3744,67.29
60.3708,19.0541,38.9647,75.1683,1.2726,54.7363,67.29
60.3708,18.9279,37.0726,75.1683,1.2766,59.5248,67.29
60.3708,18.4409,35.2721,75.1683,1.2886,56.4104,67.29
60.3708,18.5218,36.2486,73.6922,1.2806,55.0243,67.29
60.3708,18.5218,38.7816,73.6922,1.2766,59.5608,67.29
60.3708,18.5218,38.7816,73.6922,1.2927,56.6625,67.29
60.3708,18.5218,34.1124,73.6922,1.2766,58.2286,67.29
60.3708,18.3137,34.1124,74.5203,1.2766,58.2286,67.29
60.3708,18.3137,38.4764,74.5203,1.2846,55.6904,67.29
59.7408,18.1229,37.3167,74.5203,1.2726,56.6625,67.29
59.7408,18.2014,31.7015,75.4743,1.2806,58.9307,67.29
59.7408,18.0732,32.9833,74.3222,1.2846,54.5383,67.29
59.7408,18.1229,36.1266,74.3222,1.2846,59.0387,67.29
59.7408,18.1229,37.5609,74.3222,1.2806,55.7984,67.29
59.7408,18.1075,35.4247,74.3222,1.2726,56.5365,67.29
59.7408,18.1075,40.2464,74.3222,1.2686,58.9307,67.29
59.7408,18.1538,41.2535,74.3222,1.2284,54.8623,67.29
59.7408,17.9659,40.7652,74.3222,1.112,58.6787,73.035
59.7408,18.0444,40.2159,74.3222,1.2766,56.0144,66.34
59.7408,17.8875,39.6971,74.3222,1.12,56.0144,68.98
59.7408,17.8407,39.1173,74.3222,1.1441,59.0387,68.98
59.7408,17.8875,38.69,75.2763,1.1441,55.7264,68.98
59.7408,17.4393,38.1102,75.2763,1.1562,55.7264,68.98
59.7408,17.3905,38.1102,75.2763,1.1441,58.8767,68.98
60.3708,17.3905,38.1102,75.2763,1.1321,55.7264,68.98
60.3708,17.4393,36.8895,74.0522,1.124,55.7264,68.98
60.3708,17.1803,36.8895,74.0522,1.124,57.6346,68.98
60.3708,17.316,38.0186,73.1341,1.1281,56.0504,68.98
60.3708,17.2415,38.7511,73.1341,1.1321,58.2826,68.98
60.3708,17.2544,39.453,73.1341,1.1321,55.3483,68.98
60.3708,17.316,39.453,74.2142,1.1281,58.7687,68.98
60.3708,17.5625,30.1756,74.2142,1.12,56.4104,68.98
60.3708,17.4533,30.9691,73.0081,1.112,56.4104,68.98
60.3708,17.333,31.3963,73.0081,1.12,56.4104,68.98
60.3708,17.4095,30.4198,73.0081,1.112,56.4104,68.98
60.3708,17.4095,29.8705,73.8542,0.8832,55.5104,72.355
60.3708,17.4533,28.6498,73.8542,1.2565,55.5104,72.355
60.3708,17.2983,28.192,74.8443,1.2646,56.5725,72.355
61.0009,17.5548,27.8868,74.8443,1.2886,57.1845,72.355
61.0009,17.5941,27.8868,74.8443,1.2806,56.3744,72.355
61.0009,17.8662,30.4198,73.2421,1.2846,58.2286,72.355
61.0009,17.9248,29.4127,73.2421,1.2886,58.2286,72.355
60.3708,17.9491,28.8634,73.2421,1.2806,55.4383,72.355
60.3708,17.9127,28.8634,74.2142,1.2927,58.4446,72.355
60.3708,17.9491,28.2225,74.2142,1.2927,58.4446,72.355
60.3708,18.0916,28.2225,74.2142,1.2806,56.6625,72.355
60.3708,18.0916,28.2225,74.2142,1.2726,55.5644,72.355
60.3708,18.0916,28.2225,74.9703,1.2846,58.4446,72.355
60.3708,17.9491,28.2225,74.9703,1.2766,56.6985,72.355
60.3708,18.0082,27.8868,74.9703,1.2806,56.6985,72.355
60.3708,17.9248,30.1756,73.0981,1.2886,58.0666,72.355
60.3708,18.0082,29.7179,73.0981,1.2806,56.3384,71.48
60.3708,18.1149,29.7179,73.0981,1.2927,58.9307,71.48
60.3708,17.9127,29.2906,74.2502,1.2806,55.1863,71.48
