AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp
99.6296,65,54.7,66.7
99.6296,65,54.7,66.7
99.6296,65,54.7,66.7
99.6296,65,53.9,66.7
99.6296,65,53.9,66.7
99.6296,65,54.7,66.8
99.6296,65,54.7,66.8
99.6296,65,53.9,66.7
99.6296,65,53.9,66.6
99.6296,65,53.9,66.5
100.9259,65,54.7,66.4
99.6296,65,54.7,66.3
99.6296,65,54.7,66.2
100.9259,65,53.9,66.1
99.6296,65,53.9,66.1
99.6296,65,53.9,65.8
99.6296,65,54.7,65.7
99.6296,65,53.5,65.6
99.6296,65,53.5,65.6
99.6296,65,54.7,65.5
99.6296,65,53.1,65.5
99.6296,65,54.7,65.4
99.6296,65,53.5,65.3
99.6296,65,53.5,65.3
99.6296,65,54.3,65.2
99.6296,65,54.3,65.2
99.6296,65,54.3,65.1
99.6296,65,54.3,65.2
99.6296,65,53.1,65.2
99.6296,65,53.1,65.2
99.6296,65,53.9,65.1
99.6296,65,53.9,65.1
99.6296,65,54.7,65.1
99.6296,65,53.1,65.0
99.6296,65,54.7,65.0
100.9259,65,53.9,65.0
99.6296,65,54.7,65.0
99.6296,65,54.7,65.0
99.6296,65,54.1,65.1
99.6296,65,53.5,65.1
99.6296,65,54.3,65.1
98.5185,65,54.3,65.2
99.6296,65,53.5,65.2
99.6296,65,54.3,65.3
99.6296,65,54.3,65.3
99.6296,65,54.3,65.4
99.6296,65,54.3,65.3
99.6296,65,54.3,65.3
99.6296,65,53.5,65.4
97.2222,55,54.7,65.3
97.2222,55,53.9,65.4
97.2222,56,55.1,65.4
97.2222,56,53.9,65.5
97.2222,56,53.9,65.5
97.2222,56,54.7,65.5
97.2222,56,53.5,65.6
97.2222,56,53.5,65.6
98.5185,56,54.7,65.6
97.2222,56,54.7,65.6
98.5185,56,53.5,65.7
98.5185,56,54.7,65.8
97.2222,56,53.9,65.8
98.5185,56,53.3,65.8
98.5185,56,53.3,65.9
98.5185,56,54.4,65.8
98.5185,56,55.0,65.8
97.2222,56,55.0,65.7
98.5185,56,53.8,65.7
