AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
51.5556,36,110.9,100,65.0
51.5556,36,109.2,100,65.0
51.5556,36,110.9,100,65.0
51.5556,36,107.6,100,64.6
51.5556,36,104.3,100,64.2
51.5556,36,96.8,100,63.8
50.8889,36,102.0,100,63.5
52.0,36,105.9,100,63.4
52.0,36,98.8,100,63.4
52.0,36,104.1,100,63.1
52.0,36,109.7,100,62.8
52.0,36,103.5,100,62.4
52.0,36,98.0,100,62.0
52.0,36,102.8,100,61.5
52.0,36,110.9,100,61.2
52.0,36,107.4,100,61.1
50.8889,36,107.4,100,61.1
50.8889,36,101.5,100,61.1
50.8889,36,109.4,100,60.9
50.8889,36,111.7,100,60.9
52.0,36,100.4,100,61.0
50.8889,36,100.4,100,61.1
50.8889,36,109.2,100,60.9
50.8889,36,109.2,100,60.9
52.0,36,103.5,100,61.0
52.0,36,109.2,100,60.9
52.0,36,109.2,100,60.9
50.4444,36,111.0,100,60.9
52.0,36,99.9,100,60.8
52.0,36,96.4,100,60.8
52.0,36,96.4,100,60.6
52.0,36,100.7,100,60.2
52.0,36,107.6,100,59.7
52.0,36,105.1,100,59.7
52.0,36,109.2,100,59.7
52.0,36,109.2,100,59.7
52.0,36,109.2,100,59.6
52.0,36,109.2,100,59.7
52.0,36,111.0,100,59.7
52.0,36,94.2,100,59.7
52.0,36,94.2,100,59.7
52.0,36,96.6,100,59.6
52.0,36,95.4,100,59.7
52.0,36,96.5,100,59.7
52.0,36,104.3,100,59.7
52.0,36,109.2,100,60.1
52.0,36,109.2,100,59.9
52.0,36,109.2,100,60.1
52.0,36,109.2,100,60.2
45.5556,34,98.8,100,60.2
45.5556,34,98.8,100,60.2
46.4444,35,110.9,100,60.2
46.4444,35,103.5,100,60.2
46.4444,35,96.6,100,60.2
46.4444,35,110.1,100,60.5
46.4444,35,110.1,100,60.2
46.4444,35,110.1,100,60.5
46.4444,35,110.1,100,60.3
46.4444,35,110.1,100,60.2
46.4444,35,110.1,100,60.2
46.4444,35,110.1,100,60.2
46.4444,35,110.1,100,60.2
46.4444,35,111.7,100,60.2
46.4444,35,111.7,100,59.7
47.1111,35,100.7,100,59.7
46.2222,35,97.8,100,59.7
46.2222,35,96.6,100,59.7
46.2222,35,96.6,100,59.6
47.1111,35,96.6,100,59.2
46.2222,35,96.6,100,59.3
46.2222,35,96.6,100,59.5
46.2222,35,96.6,100,59.2
46.2222,35,96.6,100,59.7
46.2222,35,96.6,100,59.2
46.2222,35,97.7,100,59.2
46.2222,35,100.9,100,58.8
45.5556,35,108.0,100,58.8
46.4444,35,97.8,100,58.9
46.4444,35,96.6,100,59.2
46.4444,35,96.6,100,59.2
45.3333,35,96.6,100,59.2
46.2222,35,96.6,100,59.2
46.2222,35,96.6,100,59.2
46.2222,35,110.1,100,59.6
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,110.1,100,59.2
46.2222,35,107.6,100,59.2
46.2222,35,109.2,100,59.2
46.2222,35,109.2,100,59.2
46.2222,35,109.2,100,59.2
47.1111,35,109.2,100,59.2
47.1111,35,109.2,100,59.2
46.2222,35,109.2,100,59.2
46.2222,35,112.5,100,59.2
47.1111,36,101.1,100,59.2
47.1111,36,97.2,100,58.9
47.1111,36,110.9,100,58.8
47.1111,36,112.5,100,58.8
47.1111,36,109.5,100,58.8
47.1111,36,102.8,100,58.8
47.1111,36,99.1,100,58.8
47.1111,36,103.7,100,58.8
47.7778,36,111.7,100,58.8
47.1111,36,111.7,100,58.8
47.1111,36,111.7,100,58.8
47.1111,36,111.7,100,59.1
48.4444,36,102.9,100,59.2
48.4444,36,98.5,100,59.2
48.4444,36,100.0,100,59.2
