AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
31.8519,35,110.1,100,70.7,76.4,73.4
31.8519,35,104.1,100,70.8,76.4,73.4
31.1111,35,112.5,100,70.7,76.4,73.4
30.7407,35,104.1,100,70.4,76.4,73.4
31.1111,35,98.5,100,70.6,76.4,73.4
31.8519,35,103.7,100,70.7,76.4,73.4
31.1111,35,106.4,100,70.6,76.4,73.4
31.8519,35,99.0,100,70.7,76.4,73.4
31.1111,35,101.1,100,70.7,76.4,73.4
31.1111,35,112.6,100,70.6,76.4,73.4
30.1852,35,110.9,100,70.6,76.4,73.4
31.1111,35,97.9,100,70.7,76.4,73.4
31.1111,35,110.0,100,70.7,76.4,73.4
31.8519,35,100.3,100,70.7,76.4,73.4
31.1111,35,112.5,100,70.7,76.4,73.4
31.1111,35,101.0,100,70.8,76.4,73.4
31.1111,35,107.6,100,70.8,76.4,73.4
31.1111,35,101.3,100,70.7,76.4,73.4
31.1111,35,110.9,100,70.8,76.4,73.4
31.1111,35,113.3,100,70.8,76.4,73.4
31.1111,35,113.3,100,70.8,76.4,73.4
31.1111,35,102.8,100,70.8,76.4,73.4
31.1111,35,107.6,100,70.8,76.4,73.4
31.1111,35,112.5,100,70.8,76.4,73.4
31.1111,35,97.8,100,70.8,76.4,73.4
30.7407,35,102.0,100,70.8,76.4,73.4
30.7407,35,112.5,100,71.0,76.4,73.4
31.1111,35,112.5,100,71.0,76.4,73.4
30.7407,35,115.0,100,70.8,76.4,73.4
30.1852,35,111.9,100,70.8,76.4,73.4
30.7407,35,104.4,100,71.0,76.4,73.4
31.1111,35,100.3,100,71.1,76.4,73.4
30.7407,35,99.1,100,71.0,76.4,73.4
31.1111,35,100.4,100,70.9,76.4,73.4
31.1111,35,106.8,100,70.8,76.4,73.4
31.1111,35,110.1,100,70.8,76.4,73.4
31.1111,35,110.1,100,70.8,76.4,73.4
31.1111,35,112.5,100,70.8,76.4,73.4
31.1111,35,112.5,100,70.8,76.4,73.4
31.1111,35,110.2,100,70.8,76.4,73.4
31.1111,35,107.8,100,70.7,76.4,73.4
31.1111,35,112.6,100,70.8,76.4,73.4
30.7407,35,106.3,100,70.8,76.4,73.4
31.1111,35,102.3,100,70.8,76.4,73.4
30.7407,35,99.7,100,70.8,76.4,73.4
31.1111,35,104.3,100,70.8,76.4,73.4
30.7407,35,109.2,100,70.8,76.4,73.4
30.7407,35,109.2,100,70.8,76.4,73.4
30.7407,35,110.9,100,72.1,76.4,73.4
30.7407,35,100.3,100,71.3,76.4,73.4
30.7407,35,103.3,100,71.2,76.4,73.4
30.1852,35,105.0,100,71.2,76.4,73.4
30.1852,35,114.2,100,71.2,76.4,73.4
29.4444,35,110.7,100,71.2,76.4,73.4
30.7407,35,103.3,100,71.2,76.4,73.4
30.1852,35,112.5,100,71.2,76.4,73.4
30.1852,35,112.5,100,71.2,76.4,73.4
30.1852,35,112.5,100,71.2,76.4,73.4
30.7407,35,112.5,100,71.2,76.4,73.4
30.7407,35,112.5,100,71.2,76.4,73.4
30.7407,35,112.5,100,71.3,76.4,73.4
30.7407,35,112.5,100,71.4,76.4,73.4
30.1852,35,112.5,100,71.4,76.4,73.4
30.7407,35,114.2,100,71.6,76.4,73.4
30.7407,35,114.2,100,72.3,76.4,73.4
30.7407,35,111.0,100,72.6,76.4,73.4
30.7407,35,106.4,100,72.8,76.4,73.4
30.1852,35,108.7,100,72.9,76.4,73.4
30.7407,35,103.6,100,72.2,76.4,73.4
