AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempHeatingSetpointActive
102.8333,51,52.7,72.3,64.8
102.8333,51,52.7,72.3,64.8
102.8333,51,52.7,72.3,64.8
101.0,51,52.7,72.3,64.8
102.8333,51,52.7,72.2,64.8
102.8333,51,52.7,72.2,64.8
101.0,51,51.5,72.2,64.8
101.0,51,52.2,72.3,64.8
101.0,51,52.2,72.3,64.8
101.0,51,51.5,72.3,64.8
101.0,51,51.5,72.3,64.8
102.8333,51,51.5,72.2,64.8
101.0,51,51.5,72.3,64.8
101.0,51,51.5,72.2,64.8
101.0,51,51.5,72.2,64.8
101.0,51,51.5,72.2,64.8
101.0,51,51.5,72.2,64.8
101.0,51,51.5,72.1,64.8
102.8333,51,51.5,72.1,64.8
102.8333,51,51.5,72.1,64.8
101.0,51,51.5,72.1,64.8
102.8333,51,51.5,72.1,64.8
101.0,51,51.5,72.1,64.8
102.8333,51,51.5,72.1,64.8
101.0,51,51.5,72.1,64.8
101.0,51,51.5,72.1,64.8
101.0,51,51.5,72.0,64.8
102.8333,51,51.5,72.0,64.8
101.0,51,51.5,72.0,64.8
102.8333,51,51.5,72.0,64.8
102.8333,51,51.5,72.0,64.8
102.8333,51,51.5,72.0,64.8
102.8333,51,51.5,71.9,64.8
102.8333,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
102.8333,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
102.8333,51,51.5,71.9,64.8
102.8333,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
102.8333,51,51.5,71.9,64.8
101.0,51,51.5,71.9,64.8
101.0,51,52.2,71.9,64.8
101.0,51,52.2,71.9,64.8
102.8333,51,51.5,72.0,64.8
101.0,51,52.2,71.9,64.8
99.1667,49,52.2,71.9,64.8
97.5,49,52.2,71.9,64.8
99.1667,49,52.2,71.9,64.8
99.1667,49,52.2,71.9,64.8
97.5,49,52.2,72.0,64.8
97.5,49,52.2,72.0,64.8
97.5,50,51.5,72.0,64.8
97.5,50,52.2,72.0,64.8
97.5,51,52.2,72.0,64.8
99.1667,51,51.5,72.0,64.8
