AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.0,82.0,76.0
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,69.0,82.0,76.0
0.0,0,61.5,69.0,82.0,76.0
0.0,0,61.5,69.0,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.2,82.0,76.0
0.0,0,61.5,69.2,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.0,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,68.9,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,61.5,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.0,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.0,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.0,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.2,82.0,76.0
0.0,0,60.8,69.3,82.0,76.0
0.0,0,60.8,69.4,82.0,76.0
0.0,0,60.8,69.3,82.0,76.0
0.0,0,60.8,69.4,82.0,76.0
0.0,0,60.8,69.5,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.7,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.7,82.0,76.0
0.0,0,60.8,69.7,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.7,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,60.8,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.4,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.4,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.3,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.4,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.5,82.0,76.0
0.0,0,61.5,69.6,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.7,82.0,76.0
0.0,0,61.5,69.8,82.0,76.0
0.0,0,61.5,69.8,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.9,82.0,76.0
0.0,0,62.2,70.0,82.0,76.0
0.0,0,62.2,70.0,82.0,76.0
0.0,0,62.2,70.0,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,69.9,82.0,76.0
0.0,0,62.2,69.9,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.0,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.3,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.3,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.3,82.0,76.0
0.0,0,62.2,70.3,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.0,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,70.2,82.0,76.0
0.0,0,62.2,70.1,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.8,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,62.2,69.7,82.0,76.0
0.0,0,63.2,69.7,82.0,76.0
0.0,0,63.2,69.7,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,63.2,69.8,82.0,76.0
0.0,0,64.0,69.8,82.0,76.0
0.0,0,64.0,69.8,82.0,76.0
0.0,0,64.0,69.9,82.0,76.0
0.0,0,64.0,69.9,82.0,76.0
0.0,0,64.0,69.9,82.0,76.0
0.0,0,64.0,69.9,82.0,76.0
0.0,0,64.0,69.9,82.0,76.0
0.0,0,64.0,70.0,82.0,76.0
0.0,0,64.0,70.0,82.0,76.0
0.0,0,64.0,70.1,82.0,76.0
0.0,0,64.0,70.1,82.0,76.0
0.0,0,64.0,70.1,82.0,76.0
0.0,0,64.0,70.1,82.0,76.0
0.0,0,64.0,70.1,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,64.0,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,69.9,82.0,76.0
0.0,0,62.4,69.9,82.0,76.0
0.0,0,62.4,69.7,82.0,76.0
0.0,0,62.4,70.1,82.0,76.0
0.0,0,62.4,70.3,82.0,76.0
0.0,0,62.4,70.5,82.0,76.0
0.0,0,62.4,70.8,82.0,76.0
0.0,0,62.4,70.8,82.0,76.0
0.0,0,62.4,71.1,82.0,76.0
0.0,0,62.4,71.0,82.0,76.0
0.0,0,62.4,71.7,82.0,76.0
0.0,0,62.4,71.9,82.0,76.0
0.0,0,62.4,71.8,82.0,76.0
0.0,0,62.4,71.0,82.0,76.0
0.0,0,62.4,71.0,82.0,76.0
0.0,0,62.4,71.2,82.0,76.0
0.0,0,62.4,71.2,82.0,76.0
0.0,0,62.4,71.2,82.0,76.0
0.0,0,62.4,70.8,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.5,82.0,76.0
0.0,0,62.4,70.6,82.0,76.0
0.0,0,62.4,70.8,82.0,76.0
0.0,0,62.4,71.0,82.0,76.0
0.0,0,62.4,71.0,82.0,76.0
0.0,0,62.4,70.9,82.0,76.0
0.0,0,62.4,70.8,82.0,76.0
0.0,0,62.4,70.5,82.0,76.0
0.0,0,62.4,70.2,82.0,76.0
0.0,0,62.4,69.7,82.0,76.0
0.0,0,63.2,69.7,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.6,82.0,76.0
0.0,0,63.2,70.8,82.0,76.0
0.0,0,63.2,70.8,82.0,76.0
0.0,0,63.2,70.7,82.0,76.0
0.0,0,63.2,70.7,82.0,76.0
0.0,0,63.2,70.7,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.5,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.2,82.0,76.0
0.0,0,63.2,70.1,82.0,76.0
0.0,0,63.2,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,70.0,82.0,76.0
0.0,0,62.4,69.9,82.0,76.0
0.0,0,62.4,69.9,82.0,76.0
0.0,0,62.4,69.8,82.0,76.0
0.0,0,62.4,69.8,82.0,76.0
0.0,0,62.4,69.8,82.0,76.0
0.0,0,62.4,69.7,82.0,76.0
0.0,0,62.4,69.7,82.0,76.0
0.0,0,62.4,69.6,82.0,76.0
0.0,0,61.6,69.6,82.0,76.0
0.0,0,61.6,69.6,82.0,76.0
0.0,0,61.6,69.7,82.0,76.0
0.0,0,61.6,69.7,82.0,76.0
0.0,0,61.6,69.7,82.0,76.0
0.0,0,61.6,69.7,82.0,76.0
0.0,0,61.6,69.4,82.0,76.0
0.0,0,61.6,69.3,82.0,76.0
0.0,0,61.6,69.3,82.0,76.0
0.0,0,61.6,69.3,82.0,76.0
0.0,0,61.6,69.2,82.0,76.0
0.0,0,61.6,69.2,82.0,76.0
0.0,0,61.6,69.2,82.0,76.0
0.0,0,61.6,69.1,82.0,76.0
0.0,0,61.6,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,69.1,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,68.9,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.8,68.8,82.0,76.0
0.0,0,60.0,68.8,82.0,76.0
0.0,0,60.0,68.7,82.0,76.0
0.0,0,60.0,68.7,82.0,76.0
0.0,0,60.0,68.7,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
9.1228,0,60.0,68.6,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
0.0,0,60.0,68.6,82.0,76.0
9.1228,0,60.0,69.2,82.0,76.0
0.0,0,60.0,69.3,82.0,76.0
0.0,0,60.0,69.7,82.0,76.0
0.0,0,60.0,70.0,82.0,76.0
0.0,0,60.0,69.9,82.0,76.0
0.0,0,60.0,69.9,82.0,76.0
0.0,0,60.0,70.0,82.0,76.0
0.0,0,60.7,70.0,82.0,76.0
0.0,0,60.7,69.9,82.0,76.0
0.0,0,60.7,70.0,82.0,76.0
0.0,0,60.7,70.2,82.0,76.0
0.0,0,60.7,70.1,82.0,76.0
0.0,0,61.5,69.9,82.0,76.0
0.0,0,61.5,70.2,82.0,76.0
